"If yes, what apps,sites did you use? ","Why did,do you use dating apps,sites in general? ",Rank the following in accordance to their importance to you on a dating app: [Texting],Sex,"Do you use dating apps,sites",
"Tinder,Hinge,Grindr","I want a relationship and can't find one outside,To go on dates and explore,hookups",Very important,male ,"Yes, but not anymore",
"Tinder,Bumble,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone,To go on dates and explore",Very important,F,Yes,
Not applicable,Not applicable,Somewhat important,Male,No,
Not applicable,Not applicable,Somewhat important,Male,No,
Datamatch,"I want a relationship and can't find one outside,To go on dates and explore",Very important,Male,No,
"Tinder,Hinge","I'm down bad and want something casual,To go on dates and explore",Somewhat important,Female ,Yes,
"Tinder,Datamatch","Just for fun and I don't actually intend to meet anyone,To go on dates and explore",I don't really care,Male,"Yes, but not anymore",
"Tinder,Bumble,Hinge,Datamatch","I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,To go on dates and explore",Somewhat important,Female,Yes,
"Tinder,Hinge,Datamatch","I want a relationship and can't find one outside,Just for fun and I don't actually intend to meet anyone,To go on dates and explore",I don't really care,Female,"Yes, but not anymore",
Datamatch,"Just for fun and I don't actually intend to meet anyone,free food lol",Somewhat important,F,Yes,
Not applicable,Not applicable,Not very important,Frequently,No,
"Tinder,Bumble,Hinge,Datamatch","I want a relationship and can't find one outside,I'm down bad and want something casual,To go on dates and explore",Very important,Male,"Yes, but not anymore",
Not applicable,Not applicable,Somewhat important,Female,No,
Not applicable,Not applicable,Very important,Female,No,
Not applicable,Not applicable,Very important,Female,No,
"Datamatch,Datamatch for friendship",Just for fun and I don't actually intend to meet anyone,Somewhat important,Female,No,
