"country","rank2019","rank2018","economicQuality","education","enterpriseConditions","governance","health","investmentEnvironment","livingConds","marketAccessInfra","naturalEnv","personalFreedom","safetySecurity","socialCapital"
"Uruguay","39","39","69","57","66","29","34","43","46","59","52","20","41","58"
"United Arab Emirates","40","38","20","49","23","44","47","29","42","18","132","138","49","20"
"Malaysia","41","44","27","42","27","54","39","28","65","41","39","119","85","29"
"Greece","42","46","88","41","34","41","33","93","39","38","29","43","42","114"
"Qatar","43","42","24","64","31","56","48","47","43","28","113","135","15","23"
"Mauritius","44","41","59","62","44","36","54","35","56","56","112","37","38","35"
"Croatia","45","43","48","47","89","46","57","55","34","39","31","49","31","136"
"Hungary","46","45","30","45","57","72","52","45","37","45","30","89","39","90"
"Romania","47","47","40","61","72","47","71","36","64","47","58","57","40","116"
"Seychelles","48","50","44","67","54","51","38","65","68","54","61","64","52","36"
"Bulgaria","49","48","36","43","53","58","65","60","49","58","76","69","61","123"
"Montenegro","50","51","80","52","52","50","91","49","52","50","105","55","46","73"
"Panama","51","49","42","91","79","60","45","61","78","48","36","48","47","70"
"Serbia","52","52","73","44","64","71","72","74","47","61","99","77","44","96"
"Georgia","53","55","77","54","47","49","90","39","94","49","142","53","71","122"
"Trinidad and Tobago","55","56","66","69","95","57","77","77","53","69","119","40","67","74"
"Peru","56","57","62","63","68","67","60","54","98","78","26","45","74","144"
"China","57","60","23","56","38","91","21","48","66","52","147","159","108","34"
"Bahrain","58","54","61","59","45","90","53","46","36","36","135","156","127","19"
"Argentina","59","63","108","53","123","53","46","84","60","89","50","30","93","113"
"Oman","60","59","68","72","48","85","61","59","62","43","154","142","36","33"
"Armenia","61","68","91","51","60","75","67","56","79","67","108","83","75","75"
"Kuwait","62","58","41","85","83","93","51","78","35","51","116","115","68","50"
"Indonesia","63","61","58","88","62","62","97","64","106","88","69","103","96","5"
"Jamaica","64","62","112","82","63","52","50","63","67","79","139","34","118","85"
"Albania","65","64","113","50","65","70","69","69","90","63","73","75","62","120"
"Thailand","66","65","28","79","76","105","35","57","75","55","111","120","128","27"
"Mexico","67","67","45","74","75","80","37","66","81","53","78","68","140","118"
"Kazakhstan","68","66","53","38","70","87","84","51","59","77","133","139","89","72"
"Brazil","69","69","102","90","98","66","58","73","63","86","21","42","111","133"
"Bosnia and Herzegovina","70","73","83","65","111","101","93","85","48","80","122","92","51","89"
"Saudi Arabia","71","72","56","68","43","86","68","70","58","46","144","158","120","43"
"Colombia","72","70","75","73","77","68","44","71","83","68","32","74","153","97"
"Belarus","73","71","54","32","87","123","76","81","45","73","86","145","76","143"
"Russia","74","74","43","20","80","99","103","76","57","70","44","144","139","101"
"Sri Lanka","75","80","109","66","61","73","49","101","103","95","53","80","126","24"
"Botswana","76","78","46","100","73","43","119","75","112","96","100","56","82","86"
"Cape Verde","77","76","105","102","99","59","79","116","102","113","35","33","54","48"
"Dominican Republic","78","75","70","97","94","95","85","86","88","74","65","52","124","82"
"Paraguay","79","83","79","103","144","94","81","94","76","92","22","76","69","55"
"Ecuador","80","86","100","70","143","109","63","100","89","84","56","59","73","92"
"Moldova","81","88","111","60","101","84","96","82","74","65","134","98","84","105"
"Suriname","82","82","98","101","121","82","106","138","72","94","20","50","55","68"
"South Africa","83","77","71","104","51","48","133","72","109","81","143","36","136","47"
"Philippines","84","87","55","83","74","79","101","92","115","75","51","70","148","25"
"Vietnam","85","85","57","76","100","114","42","109","86","72","92","140","94","31"
"Jordan","86","81","126","96","59","74","80","58","61","66","151","121","90","107"
"Mongolia","87","90","96","58","92","63","100","103","108","121","130","63","59","67"
"Kyrgyzstan","88","89","87","77","106","100","89","98","93","120","60","100","65","37"
"Namibia","89","79","107","120","86","42","126","79","114","90","77","51","56","60"
"Guyana","90","91","124","92","107","76","116","96","82","101","74","65","81","79"
"Turkey","91","84","67","80","58","111","64","50","54","57","110","146","149","147"
"Azerbaijan","92","97","94","75","55","115","66","62","70","71","148","152","107","125"
"Sao Tome and Principe","93","93","85","108","91","77","104","130","117","117","57","44","37","62"
"Belize","94","92","114","98","116","92","95","128","85","99","42","60","72","128"
"Tunisia","95","98","106","94","104","65","94","97","77","82","146","88","122","140"
"Ukraine","96","99","99","37","71","81","114","113","69","87","127","85","145","148"
"Cuba","97","94","86","40","153","135","27","90","80","98","94","155","95","46"
"El Salvador","98","96","93","109","90","78","86","88","91","93","156","71","125","99"
"Guatemala","99","100","74","117","108","107","98","89","113","76","89","79","116","64"
"Morocco","100","95","92","116","84","98","110","68","95","62","117","118","57","163"
"India","101","105","81","113","42","45","109","80","120","85","164","101","135","77"
"Ghana","102","101","142","111","69","55","117","106","116","115","101","47","99","59"
"Uzbekistan","103","104","65","81","129","148","41","87","100","103","160","147","63","22"
"Lebanon","104","102","136","84","78","122","82","102","51","83","140","107","144","146"
"Bolivia","105","106","127","95","150","125","108","115","99","119","34","73","77","119"
"Rwanda","106","108","84","128","50","64","105","42","145","105","97","114","121","71"
"Honduras","107","107","95","115","113","127","83","95","110","100","82","97","130","66"
"Turkmenistan","108","109","63","78","142","154","62","91","84","109","165","162","79","39"
"Nicaragua","109","103","115","114","138","137","78","105","105","97","63","113","104","106"
"Algeria","110","110","129","87","140","116","73","136","71","104","131","134","53","149"
"Senegal","111","111","125","142","88","61","122","124","118","125","103","61","100","54"
"Gabon","112","113","104","99","103","130","129","112","107","107","59","112","102","145"
"Kenya","113","112","135","105","67","83","115","67","132","106","129","106","147","44"
"Tajikistan","114","115","148","89","122","141","74","117","104","131","136","149","86","26"
"Nepal","115","114","89","119","128","104","118","127","126","142","137","67","78","91"
"Laos","116","118","82","106","117","133","123","135","123","116","40","151","60","102"
"Equatorial Guinea","117","116","64","125","120","128","159","122","111","114","37","154","83","63"
"Zambia","118","119","153","126","82","97","128","108","144","138","38","108","87","80"
"Iran","119","117","101","71","149","138","88","126","73","110","152","163","131","129"
"Tanzania","120","122","118","134","112","96","124","120","135","130","67","109","113","100"
"Djibouti","121","123","78","141","93","121","120","99","124","111","145","130","112","104"
"Cambodia","122","120","76","124","146","156","99","125","129","102","83","127","114","87"
"Papua New Guinea","123","121","103","140","109","113","147","111","160","129","70","54","106","121"
"Myanmar","124","124","97","110","105","140","107","145","131","108","46","129","154","32"
"Gambia","125","128","158","136","124","112","142","119","127","134","85","111","88","42"
"Egypt","126","129","143","107","85","143","111","107","87","91","157","161","150","127"
"Bangladesh","127","125","120","122","96","131","113","143","119","122","149","116","141","78"
"Malawi","128","126","139","146","115","88","135","121","157","135","72","78","91","156"
"Comoros","129","127","145","147","130","136","132","153","128","144","104","94","45","103"
"Ivory Coast","130","134","90","149","110","106","155","114","133","124","96","96","132","150"
"Benin","131","133","140","148","102","89","145","146","147","133","118","66","64","160"
"Eswatini","132","131","116","131","126","134","146","104","122","123","138","148","92","134"
"Lesotho","133","130","117","123","125","102","163","129","140","127","159","87","98","126"
"Burkina Faso","134","132","141","152","119","108","138","133","148","155","98","58","117","124"
"Uganda","135","135","132","137","81","118","140","83","143","136","125","117","133","139"
"Liberia","136","136","152","156","118","103","160","134","150","164","64","91","80","61"
"Madagascar","137","138","137","144","139","129","139","131","166","143","84","90","115","108"
"Guinea-Bissau","138","139","130","161","132","142","151","157","158","150","66","99","50","98"
"Zimbabwe","139","141","146","118","155","153","134","150","130","145","128","124","103","110"
"Pakistan","140","144","138","133","127","120","127","110","121","128","167","122","156","88"
"Guinea","141","140","155","162","97","132","157","123","154","154","49","105","123","93"
"Iraq","142","142","110","121","134","145","121","148","97","118","166","137","165","94"
"Venezuela","143","137","165","93","167","167","75","158","96","126","71","128","146","137"
"Togo","144","146","122","135","136","139","148","144","137","148","141","110","110","164"
"Mozambique","145","147","166","153","148","124","143","141","155","152","68","84","105","95"
"Sierra Leone","146","143","161","151","147","117","164","149","159","157","87","86","101","52"
"Libya","147","145","131","112","161","158","102","159","92","132","162","136","161","115"
"Nigeria","148","148","157","138","131","126","162","118","136","139","114","102","157","69"
"Mali","149","149","119","163","133","110","154","142","141","149","102","81","152","131"
"Ethiopia","150","152","133","139","145","144","130","137","149","141","115","153","138","117"
"Niger","151","151","134","166","135","119","150","147","161","158","124","93","134","83"
"Cameroon","152","150","121","127","137","151","158","139","134","140","109","126","155","135"
"Haiti","153","153","151","130","166","149","144","163","152","156","155","104","97","152"
"Republic of the Congo","154","154","162","132","157","150","141","151","139","146","81","123","137","159"
"Mauritania","155","155","147","160","154","159","137","161","125","159","163","143","109","154"
"Angola","156","156","144","157","160","146","152","167","146","147","120","133","119","155"
"Syria","157","157","128","129","159","162","112","140","101","112","158","166","163","167"
"Sudan","158","158","164","143","141","157","131","132","138","137","153","165","162","138"
"Burundi","159","159","159","150","114","152","136","154","164","153","126","157","158","151"
"Eritrea","160","160","154","158","158","164","125","152","153","160","106","167","142","153"
"Somalia","161","161","163","159","164","165","161","166","151","165","123","150","151","109"
"DR Congo","162","162","156","145","156","163","156","165","163","166","107","141","160","157"
"Afghanistan","163","163","123","155","151","147","153","155","156","161","161","132","166","166"
"Chad","164","164","149","165","165","161","166","160","162","167","90","125","143","165"
"Central African Republic","165","166","150","164","163","155","165","164","167","162","95","131","159","161"
"Yemen","166","165","167","154","162","166","149","162","142","163","150","164","164","158"
"South Sudan","167","167","160","167","152","160","167","156","165","151","93","160","167","162"
