,Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Unnamed: 8
11,NAICS2017,2017 NAICS code,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,"INDGROUP,  INDLEVEL,  NAICS2017_F,  NAICS2017_LABEL,  INDGROUP,  INDLEVEL,  NAICS2017_F,  SECTOR,  SUBSECTOR,  SECTOR,  SUBSECTOR",0,string,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
12,NATION,Geography,,not required,,0,(not a predicate),,
13,PAYANN,"Annual payroll ($1,000)","Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,PAYANN_F,0,int,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
14,PAYANN_S,Relative standard error of annual payroll (%),"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,PAYANN_S_F,0,float,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
15,RACE_GROUP,Race code,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,RACE_GROUP_LABEL,0,string,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
16,RCPPDEMP,"Sales, value of shipments, or revenue of employer firms ($1,000)","Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,RCPPDEMP_F,0,int,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
17,RCPPDEMP_S,"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,RCPPDEMP_S_F,0,float,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
18,RCPSZFI,"Sales, value of shipments, or revenue size of firms code","Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,RCPSZFI_LABEL,0,string,AB1800CSA03,
19,SEX,Sex code,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,SEX_LABEL,0,string,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
20,STATE,Geography,,not required,,0,(not a predicate),,
21,SUMLEVEL,Summary Level code,,not required,,0,string,,
22,ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification,predicate-only,,0,ucgid,,
23,VET_GROUP,Veteran code,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,VET_GROUP_LABEL,0,string,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
24,YEAR,Year,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,,0,string,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
25,YIBSZFI,Years in business code,"Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,YIBSZFI_LABEL,0,string,AB1800CSA02,
26,26 variables,26 variables,26 variables,26 variables,26 variables,26 variables,26 variables,26 variables,26 variables
