,Démarche,Date,Identifiant,Satisfaction,Verbatim,Facilité,Simplicité,Difficulté,Autre difficulté,Aide,Autre aide,Source
10,Simuler mes droits sociaux,2021/07/05 17:50:39,3705691,Pas bien,"Bonjour, Le déroulement du site très bien. A la fin, je reste sur la synthèse qui reprends mes informations et pas de résultat précisant si j'ai droit ou pas à un avantage. bizarre ! Cdlmt",-,-,-,-,-,-,button
11,Simuler mes droits sociaux,2021/07/04 16:54:53,3694116,Pas bien,suite a ma simulation je ne comprend pas le resultat qui me donne un poucentage ne repond pas a savoir si j ai des droits et lesquels resultat pas plus avancer ,-,Mauvais,Autre,on ne comprend pas le resultat % veux rien dire ,Autre,que l on nous dise oui ou non pas de droit,button
12,Simuler mes droits sociaux,2021/07/04 14:29:42,3692878,Pas bien,Info attendue (possibilité de bénéficier de la CSS) non donnée !!! Simulateur inutile,Mauvais,Mauvais,"Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné ; Le site ne s'affichait pas bien sur mobile ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai...",-,-,-,button
13,Simuler mes droits sociaux,2021/07/03 15:38:30,3686088,Pas bien,"J'ai l'impression de tourner en rond. Retour au point de départ, refaire tous les clics. Simulation sur les aides à la retraite incompréhensible.",Mauvais,Moyen,Le site ne s'affichait pas bien sur mobile ; Difficulté à joindre les pièces justificatives,-,Un agent administratif,-,button
14,Simuler mes droits sociaux,2021/07/03 14:33:01,3685493,Pas bien,"l'outil parait simple et engageant, malheureusement aucun détails a la fin pour expliquer pourquoi nous avons ce résultats. L'algorithme semble simplement faire un simple résumé des données entrées et devient donc absolument inutile.",Bon,Moyen,"La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai... ; Autre","aucun details APL, et autres droits. Pages finale non détailler",-,-,button
15,Simuler mes droits sociaux,2021/07/03 01:26:05,3681330,Moyen,Le problème la caf ne donne pas ses chifres,-,Bon,-,-,-,-,button
16,Simuler mes droits sociaux,2021/07/02 19:06:08,3678997,Pas bien,"il faudrait revoir certaines chose pour l'aide au logement et aah que je perçois , on me retire donnée a d'autre qui font rien de leur journée pas normal ils ont qu'a çe le matin pour faire comme tout le monde et arrèté de les couvèe ",-,Mauvais,Autre,ons m'enléve a moi pourb donnée au autrs,-,-,button
17,Simuler mes droits sociaux,2021/07/02 13:35:47,3674410,Moyen,....tout ça pour ça ...!,Bon,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
18,Simuler mes droits sociaux,2021/07/02 10:22:09,3671294,Pas bien,Pourquoi proposer de faire la demande d'une prestation sur le site alors qu'on n'y a pas le droit ? Il faudrait afficher uniquement les aides auxquelles on est éligibles bande d'incompétents !,-,-,-,-,-,-,button
19,Simuler mes droits sociaux,2021/07/01 23:07:30,3667066,Pas bien,"Ma situation me permettait d'avoir 270 euros pour l'allocation logement, seulement lorsque j'ai fait ma demande d'allocation la CAF m'informe que mes revenus ne me permettent pas d'avoir l'apl .... je me pose des questions sur la réalité ",Moyen,Bon,"Manque d'informations sur la suite, le délai... ; Autre",MAUVAISES informations pouvant induire en erreur sur les eventuelles prestations possibles,"Internet (site, forum…)",-,button
20,Simuler mes droits sociaux,2021/07/01 19:30:12,3662682,Pas bien, votre site trouve un droit au chèque énergie de 190 euros alors que je ne perçois qu'un chèque de 48 euros par an. votre simulateur est obsolète...,Mauvais,Moyen,-,-,-,-,button
21,Simuler mes droits sociaux,2021/07/01 19:23:20,3662517,Pas bien,"votre site n'est pas performant. je fais une estimation simple en fonction de mes revenus pour aide au logement et votre simulateur trouve un droit de 240 euros et un RLS de 30 euros. lorsque je fais la même simulation de manière générale, votre simulateur trouve un résultat totalement différent; il se contente de reprendre les informations de la CAF à savoir: 70 euros aide au logement + RLS de 40 euros. absolument anormal de trouver 2 résultats différents pour la même demande... ",Mauvais,Moyen,Manque d'informations avant de commencer la démarche ; Autre,mauvaise estimation aide logement,Autre,-,button
22,Simuler mes droits sociaux,2021/07/01 15:38:48,3656555,Moyen,"Il aurai été souhaitable, voir logique, dans la normale de faire apparaître aussi sur la CAF, les aides aux ""LOISIRS & aux VACANCES"" ! ",Bon,Bon,-,-,Autre,-,button
23,Simuler mes droits sociaux,2021/07/01 14:55:46,3655353,Pas bien,Je demandait une simulation APL seulement,-,-,Autre,-,Un agent administratif,-,button
24,Simuler mes droits sociaux,2021/07/01 11:24:44,3649478,Pas bien,"je n""ai pas obtenu de resultat de la simulation",Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
25,Simuler mes droits sociaux,2021/06/30 17:51:22,3634331,Moyen,Resevoi les documents à remplir à mon domicile pour faire valoir mes droits cordialement,Moyen,Moyen,Le site ne s'affichait pas bien sur mobile,-,Un agent administratif,-,button
26,Simuler mes droits sociaux,2021/06/30 15:17:50,3631257,Pas bien,Les montants de mes mensualités étaient divisées par 1000 sans raison,Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
27,Simuler mes droits sociaux,2021/06/29 15:18:45,3613488,Moyen,Plus explicites pour les personnes âgés. ,Moyen,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
28,Simuler mes droits sociaux,2021/06/29 09:50:19,3609580,Pas bien,résultat pour 22 000 € de revenus annuels et patrimoine de 300 000 € = aide de 650 € par mois ? mon œil ?....... bravo pour votre aide ... c'est nul ...,Bon,Bon,-,-,-,-,button
29,Simuler mes droits sociaux,2021/06/29 09:43:56,3609502,Moyen,J'ai fait une demande de retraite j'ai aujourd'hui 65/1/2 je n'ai pas assez cotiser pour recevoir une retraite pleine que dois je faire,Bon,Bon,"Manque d'informations avant de commencer la démarche ; Manque d'informations sur la suite, le délai...",-,-,-,button
30,Simuler mes droits sociaux,2021/06/28 20:25:30,3606723,Pas bien,votre simulateur est faux selon la caf de langon 33210,Bon,Bon,Autre,simulateur non fiable selon agence caf de langon 33210,"Internet (site, forum…)",-,button
31,Simuler mes droits sociaux,2021/06/28 16:03:19,3603512,Très bien,pressier si le salaire doit être noter en brut ou en net,Bon,Bon,-,-,-,-,button
32,Simuler mes droits sociaux,2021/06/28 15:00:49,3602676,Pas bien,"Les cases ressources ne sont pas claires entre revenus de référence , ressources 2019,2021 , par mois , par année etc.... En sus des ressources pas de place pour les charges notamment pension alimentaire....",-,-,La démarche n'a pas fonctionné,-,-,-,button
33,Simuler mes droits sociaux,2021/06/28 08:43:04,3598216,Pas bien,Impossible de joindre un responsable envoyer lettre recommandée pas de réponse,Mauvais,Mauvais,Manque d'informations avant de commencer la démarche ; Autre,Problème sur paiement de retraite,-,-,button
34,Simuler mes droits sociaux,2021/06/27 13:55:26,3593577,Pas bien,Mauvaise information donner par vous ,Moyen,Moyen,La démarche n'a pas fonctionné,-,Un(e) proche,-,button
35,Simuler mes droits sociaux,2021/06/26 15:53:21,3587288,Très bien,Très simple d'utilisateur et ne prend vraiment pas de temps,Bon,Bon,-,-,-,-,button
36,Simuler mes droits sociaux,2021/06/26 09:18:23,3583880,Très bien,"La fonction du site est assez difficile à assimiler pour les débutants, mais bon une fois dans le bain,  ça s'enchaine très bien.",Bon,Moyen,"Manque d'informations avant de commencer la démarche ; Manque d'informations sur la suite, le délai...",-,-,-,button
37,Simuler mes droits sociaux,2021/06/26 08:52:08,3583685,Pas bien,"Je me renseigne pour ma mère au cas où il faudrait la placer en EHPAD... et souhaitait avoir un résultat et non oui vous avez droit à l'APA... Je pense que le faire par internet n'est pas la solution, il vaudrait mieux voir un conseiller. Je n'ai pas toutes les données, car elle n'est pas au courant de la démarche, c'est juste pour ne pas être pris au dépourvu ",Bon,Moyen,"Manque d'informations sur la suite, le délai...",-,-,-,button
38,Simuler mes droits sociaux,2021/06/25 17:54:19,3580529,Moyen,"resultats pas fiables, montant surestimés ",Bon,Bon,-,-,-,-,button
39,Simuler mes droits sociaux,2021/06/25 15:11:39,3578797,Pas bien,Peut on toucher le chômage et le rsa  plus la prime d activité ensemble merci,-,-,Autre,Pas de resultat ,Un agent administratif,-,button
40,Simuler mes droits sociaux,2021/06/25 07:22:29,3574762,Pas bien,"J'ai peur que ce système genereux ne puisse perdurer , mes amis en Pologne qui vivent dans la rue ne me croient pas lorsque je leur dit que je touche le rsa sans travailler , qu'une équipe de la ville vienne une fois par moi nettoyer au Karcher mes 15 mètres carrés de trottoir que j'occupe sans amendes ni de droits t'occupât ion, que j'ai pu bénéficier de 3 cures de desintox logement et nourriture inclus sans payer et  qu'une équipe de bénévoles m'apporte des repas le soir, je suis inquiète que cela ne continue pas , j'en dort pas la nuit tellement c'est un rêve de vivre ici. Croisons les doigts pour que les français n'élisent pas la blonde.",Bon,Bon,Autre,Aide psychologique,Autre,"Je suis inquiet sur la continuité de ce support financier , est ce que nous étranger sans travail pourra t on toujours bénéficier de ce système, chez nous cela n’existe pas.",button
41,Simuler mes droits sociaux,2021/06/24 22:09:28,3574026,Moyen,Je sui veuf et diyalise depui 5ans je sui sur la liste de gref j habite seul locataire,Moyen,Moyen,La démarche n'a pas fonctionné,-,Un agent administratif,-,button
42,Simuler mes droits sociaux,2021/06/24 21:50:14,3573926,Pas bien,Malgre l aah et le cheque energie une fois par un l edf prends mon budget,Bon,Bon,Autre,Je touche l aah et droit a rien,Autre,Factures edf ,button
43,Simuler mes droits sociaux,2021/06/24 18:44:14,3572820,Moyen,"Mes infos personnelles ne se sont pas incrémentées automatiquement dans le simulateur de droits comme annoncé, malgré ma connexion au site via FRANCECONNECT ; merci tout de même, c'est une bonne idée",Bon,Bon,Autre,onnectée via FRANCECONNECt mais pas d'infos preremplies,-,-,button
44,Simuler mes droits sociaux,2021/06/24 17:15:03,3572168,Moyen,Pour un fonctionnaire de l Etat ilnous est tres difficile de remplir ce simulateur  en effet je suis en retraite pour invalidite  je touche un prestation d invalidite por accident  je percois le retraite de reversion de mon epous decede militaire de cazrrier nos deux retraites sont versees ensemble par DRIF A bORDEAUX  ensuite j'ai une reversion de la carsat Bordeaux  Donc je donne l integralite de mes pensions  je n ai aucun renseignements sur mes droits sachant que je suis invalide à 80% j 'ai l APA do Conseil departemental niveau 4 Enfait je sollicite quels sont mes droits tels que vous les proposez dans le simulateur pas trés pointu  Merci beaucoup  ,Moyen,-,-,-,-,-,button
45,Simuler mes droits sociaux,2021/06/22 23:44:04,3562611,Moyen,"MERCI DE ME DIRE A SA FILLE CE DONT ELLE A DROIT MA MERE POUR SON ENTREE EN EHPAD DONT GIR A CONFIRME 2 OU 3 ,  actuellement a droit a 26 H MENSUELS POUR L'APA DU LOIR ET CHER , MAIS A SON ENTREE EN EPHAD LE 28 JUIN 2021 DANS L'OISE , QUE PEUT ELLE PRETENDRE ? SA FILLE BRIGITTE PAROT TEL : 0682418043 mail : brigitteparot95@gmail.com ELLE BENEFICIE D'une part et demi fiscalement avec ses trois enfants élevés seuls .",-,-,"Manque d'informations sur la suite, le délai... ; Autre",MAMAN RENTRANT EN EHPAD GIR NON DETERMINE ,Autre,SAVOIR SI SA SITUATION LUI DONNE DROIT A L'APL POUR SO ENTREE EN EHPAD ,button
46,Simuler mes droits sociaux,2021/06/22 11:12:22,3558135,Très bien,TRES DIFFICILE D OBTENIR UN AVIS DE NON IMPOSITION DE TAXE D HABITATION  ON TOURNE EN RONDJC,Moyen,Moyen,Difficulté à joindre les pièces justificatives,-,-,-,button
47,Simuler mes droits sociaux,2021/06/22 09:18:29,3557358,Moyen,"je n'ai pas compris si les 900 euros affichés sont réellement un droit auquel je peux prétendre. Trop compliqué, je préfère me débrouiller avec peu, plutôt que d'entrer dans un labyrinthe d'où je ne pourrai ressortir (ou en ressortir un peu dérangé)",Moyen,Moyen,Autre,"Je n'ai pas trouvé la rubrique ""renseigner les revenus des 12 derniers mois""",Autre,"Retraitée récemment, je n'ai pas compris grand chose sur ce à quoi j'avais droit ; donc je vais me contenter de ce que j'ai.",button
48,Simuler mes droits sociaux,2021/06/22 07:13:21,3556990,Pas bien,les gens moyen n'ont le droits a rien ,Moyen,Bon,Autre, les gens moyen n'ont droits a rien ,-,-,button
49,Simuler mes droits sociaux,2021/06/21 16:55:32,3554443,Pas bien,On me dit que j'ai droit à une réduction de loyer (rls) faux. On me dit que j'ai le droit à la prime d'activité faux (750euro) on me dit que j'ai le droit à 220 euro d'apl faux et droit à un chèque énergie de 200 euro que je n'ai jamais reçu . Donc entre ce que je devrais avoir et ce que la caf et autre me disent y'a un fossé énorme …,Moyen,Bon,Autre,Lorsque l’on fini de saisir nos infos eh bien quand on clique pour avoir nos aides on me dit que je n’en bénéficie pas donc il y’a deux discours entre ce que j’ai droit et ce que j’ai donc rien ,-,-,button
50,Simuler mes droits sociaux,2021/06/21 15:19:43,3553691,Pas bien,Je n ai pas eu de réponse,Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
51,Simuler mes droits sociaux,2021/06/20 22:56:12,3550542,Très bien,Je viens de découvrir et honnêtement je dormirai moins bête ce soir. J'ai trouvé pratiquement à un tas de questions que je m'étais posées pendant plusieurs mois. Merci,Bon,Bon,-,-,-,-,button
52,Simuler mes droits sociaux,2021/06/19 17:33:32,3546056,Pas bien,je n'ais reçu aucune stimulation sur mes droits,-,-,La démarche n'a pas fonctionné,-,-,-,button
53,Simuler mes droits sociaux,2021/06/19 12:17:24,3545001,Moyen,"Les résultats sont faux , a titre d'exemple je perçois aah 80 pour cent, je n'ai pas droit au RSA alors que la simulation me dit le contraire.pas droit non plus à la réduction transports a 100 pour cent ( Rennes) et la simulation indique le contraire",Bon,Moyen,"Manque d'informations sur la suite, le délai...",-,-,-,button
54,Simuler mes droits sociaux,2021/06/18 14:28:34,3541345,Moyen,Bonjour. J'attends la réponse à mes Droits. Merci.,Moyen,Moyen,"Manque d'informations sur la suite, le délai...",-,Autre,Moi-Même,button
55,Simuler mes droits sociaux,2021/06/18 12:19:44,3540655,Très bien,Personnellement je ne crois pas le résultat car j ai des droits sur la simulation et dans la réalité  rien aucun droit,Bon,Bon,-,-,-,-,button
56,Simuler mes droits sociaux,2021/06/18 11:35:43,3540358,Très bien,bonjour  je ne comprend pas en faisant le simulateur j'ai droit au rsa et quand je fait les démarche je n'ai droit a rien alors que je rempli exactement pareil !! que puis je faire?  merci d'avance traulle.charles@neuf.fr,Bon,Bon,-,-,-,-,button
57,Simuler mes droits sociaux,2021/06/18 07:46:36,3539112,Pas bien,"D'après les simulations, nous avons droits à une prime d'activité (exploitants agricoles avec 4 enfants) mais malgré les papiers envoyés nous ne touchons absolument rien de la MSA qui ne souhaite pas se pencher sur notre dossier. Je veux bien que la simulation soit pas forcément exacte mais entre 980 € d'aide et 0, y'a une différence... Donc soit revoyez votre simulateur, soit tirez les oreilles à la MSA... Merci d'avance",Bon,Bon,La démarche n'a pas fonctionné,-,Autre,-,button
58,Simuler mes droits sociaux,2021/06/17 21:53:17,3538414,Très bien,"Prévoir, pour les ménages séparés ou divorcés avec enfant (s), une case relative à la garde alternée et faire déduire des ressources d'une part les pensions alimentaires versées et d'autre part le coût des transports pour aller chercher les enfants chez l'ex-conjoint et les lui ramener. Voilà qui affinerait le questionnaire et serait au plus près des dépenses réellement engagées : l'équité y gagnerait.",Bon,Bon,"Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai...",-,-,-,button
59,Simuler mes droits sociaux,2021/06/17 17:18:32,3536829,Pas bien,"Site mal conçu Il existe des situations qui n existent pas dans le simulateur.  Les revenus à entrer sont mal indiqués et il est difficile de savoir s'il faut entrer le montant mensuel et celui de n-2 ou pas. Les résultats ne sont absolument pas à prendre en considération.  Je viens de faire une simulation, ça m indiqué que je n ai droit à rien alors que dans la réalité j ai déjà un droit allocation logement de 128 euros. Peu utile comme calculateur et peu pratique ",Mauvais,Moyen,Le site ne s'affichait pas bien sur mobile ; Autre,-,Autre,-,button
60,Simuler mes droits sociaux,2021/06/17 08:11:55,3533553,Très bien,"Formulaire simple j'ai répondu par curiosité,  sachant très bien que n'avais droit à rien. MAis je confirme c'est très facile.",Bon,Bon,-,-,-,-,button
61,Simuler mes droits sociaux,2021/06/17 05:20:39,3533363,Moyen,"J'ai répondu à toutes les question ...  J' espère avoir une réponse favorable  , MERCI ",Bon,Bon,-,-,-,-,button
62,Simuler mes droits sociaux,2021/06/16 19:57:18,3532187,Pas bien,Je trouve que comme d'habitude on ne m' demandé que ce que gagnait mon foyer mais pas les charges que nous avions ce qui fait que vous n'avez pas les informations nécessaires pour dire si nous avons l'argent qu'il faut pour vivre ou non ! Comme toujours. ,Moyen,Moyen,Manque d'informations avant de commencer la démarche,-,"Internet (site, forum…)",-,button
63,Simuler mes droits sociaux,2021/06/16 08:54:39,3527691,Pas bien,PAS DE RESULTAT ???,-,Moyen,La démarche n'a pas fonctionné,-,-,-,button
64,Simuler mes droits sociaux,2021/06/14 16:15:16,3517725,Pas bien,Un apprenti et une simple serveuse si n'ont le droit à aucune aide. J'en connais qui travail pas et on leur paye tout.,Bon,Bon,Autre,-,"Internet (site, forum…)",-,button
65,Simuler mes droits sociaux,2021/06/14 15:34:46,3517398,Pas bien,"Simulations complètement fantaisistes affichant des résultats différents à chaque test et ce malgré des informations strictement identiques. Qui plus est, calculs de prestations revenus toutes négatifs sur les sites mentionnés (CAF, chèque énergie…). Ce site ne sert donc strictement à rien hormis à dilapider une fois de plus les impôts du contribuables.",Bon,Bon,"Manque d'informations avant de commencer la démarche ; Manque d'informations sur la suite, le délai...",-,-,-,button
66,Simuler mes droits sociaux,2021/06/14 14:44:09,3517001,Pas bien,Oui je tiens à vous dire que votre site ne fonctionne pas. Car vous dîtes que nous avons des droits. Alors quand que t'on fais le dossier avec plusieurs relances de documents pourque au bout du compte ah non vous le droit à rien. Donc votre site ne sers a rien ,Moyen,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
67,Simuler mes droits sociaux,2021/06/14 12:27:18,3516098,Moyen,"Bonjour, avec ma simulation d'ALS je ne trouve pas le même chose que la caf. Ma CAF me donne 36 euros d'aide au logement pour un loyer de 470 euros plus 30 euros de charges. Je suis à la retraite, une fois loyer et facture payées il me reste 300 euros. La CAF me dit vous êtes seule et sans enfant. J'habite ici depuis 7 ans et j'étais aussi seule et sans enfant. j'avais 254 euros d'allocation logement, maintenant plus rien. La nouvelle loi sur le logement enfonce bien les retraités qui ont travaillés jusqu'à être malade",-,Moyen,"Manque d'informations sur la suite, le délai...",-,-,-,button
68,Simuler mes droits sociaux,2021/06/13 15:07:57,3512114,Moyen,"Bonjour, Je n'ai pas toujours bien compris vos demandes entre le revenu fiscal, la pension de retraite et les livrets divers, la période autre que l'année civile. Vous demandez tous les avoirs mais omettez toutes les charges telles que complément de versement mensuel à un ehpad pour un parent alzameir et croyez-moi mes économies fondent vites. Salatations",Moyen,Mauvais,Difficulté à joindre les pièces justificatives,-,-,-,button
69,Simuler mes droits sociaux,2021/06/13 08:57:23,3510970,Pas bien,"Je suis handicapé médical depuis 20 ans et j'ai le RSA depuis 20 ans , je suis inapte pour travailler et je ne sors jamais du domicile de mes parents.Je suis à la charge de mes parents qui sont retraités .J'espère ètre reconnu pour une H A A par la Caf.",-,-,-,-,-,-,button
70,Simuler mes droits sociaux,2021/06/12 22:44:49,3510592,Moyen,Avoir une personne en face à qui poser question et plus simple la c est flou et pas évident de comprendre surtout quand préfère discuter et avoir de vrai réponse la y a rien on ne comprend pas si ces droits nous concerne ou si c est un faux espoir ..bref voir une arnaque internet ne nous facilite pas la vie bien au contraire...  ,-,-,-,-,Un agent administratif,-,button
71,Simuler mes droits sociaux,2021/06/12 18:42:13,3510056,Moyen,Je recherche une complémentaire santé par ce que la mienne ces arrêté. comment arrêté de travailler pour ma mère (proche aident) elle est malade et ne peux rester seul.,Bon,Bon,"Manque d'informations avant de commencer la démarche ; Manque d'informations sur la suite, le délai...",-,Un agent administratif,-,button
72,Simuler mes droits sociaux,2021/06/12 17:29:00,3509792,Pas bien,facile de faire croire aux gens que les vieux sont aidés mais la réalité est bien différente  je suis seul  a 75 ans et je n'ai jamais reçu la moindre aide de qui que ce soit  mais par contre beaucoup de profiteurs qui aiment profiter de la faiblésse d'un vieux comme moi  ,Mauvais,Moyen,Manque d'informations avant de commencer la démarche ; Autre,pas d'aide pour un vieu de 75 ans comme moi ,-,-,button
73,Simuler mes droits sociaux,2021/06/11 11:35:08,3503701,Très bien,site d'accès facile aucune difficulté rencontré tous les sujets sont bien expliqués et accessibles rien à dire d'autre sinon bravo ,Bon,Bon,Autre,non,-,-,button
74,Simuler mes droits sociaux,2021/06/11 10:11:54,3503001,Très bien,Bon,Bon,Bon,-,-,-,-,button
75,Simuler mes droits sociaux,2021/06/11 00:42:13,3501933,Pas bien,Je doit toucher ma AAH du montant de 903 euros mensuel et non 575 euros j appel cela de vol et escroquerie. Merci cordialement ,Bon,Bon,-,-,-,-,button
76,Simuler mes droits sociaux,2021/06/10 20:32:44,3500717,Très bien,"Bonjour .pour moi,je pense que votre questionnaire est incomplet,à savoir que je suis travailleur indépendant et n'ai pas vu de case correspondante. Bien cordialement",-,-,Manque d'informations avant de commencer la démarche,-,-,-,button
77,Simuler mes droits sociaux,2021/06/10 13:17:04,3498256,Pas bien,"Bonjour oui, pourquoi remplir nos informations pour afficher mes droits et ne pas rentrer dans les conditions requièrent?  Ça sert à rien.",Bon,Bon,-,-,-,-,button
78,Simuler mes droits sociaux,2021/06/10 10:07:46,3497269,Pas bien,"Même quand j'indique un revenu de 650.000€, le simulateur m'indique que j'ai le droit aux APL et au RSA. Bravo",Moyen,Bon,La démarche n'a pas fonctionné,-,-,-,button
79,Simuler mes droits sociaux,2021/06/10 09:31:24,3497098,Moyen,manque de renseignements a la suite des résultats comme ou contacter pour les chèques énergies car je n'est reçu que 68e et non pas 240e  ,Bon,Bon,Manque d'informations avant de commencer la démarche,-,-,-,button
80,Simuler mes droits sociaux,2021/06/09 21:44:23,3495775,Pas bien,"Archi FAUX j'ai écrit 2333 salaire mensuel et 1 enfant en garde alternée et hébergé par un tiers. Le site a répondu 1 Allocation de Soutien Familial 120 euros par mois, c'est FAUX elle n'est jamais versée en cas d'enfant en garde alternée. Le site a répondu 2 Prime d'Activité, c'est FAUX elle n'est jamais versée au dela de 1787 euros par mois. Le site a répondu 3 livret épargne populaire 1%, c'est la seule chose qui est vraie, vous pourriez ajouter soit 6,41 euros par mois pour 7700 euros immobilisés toute l'année (waouh 6 euros par mois, génial) Le site a répondu 4 logement social, c'est FAUX je suis demandeur de logement social depuis 8 ans à Paris (mon enfant a 8 ans) et ils m'ont juste proposé 1 F1 de 25m carré dans une cité violente de l'Essonne à 1h30 de mon travail et de l'école. Le DALO ne commence qu'à partir de la 9ème année sans logement et qui dit que ce sera pas encore un taudis dans une cité violente avec 3 heures de transport par jour ?",Moyen,Bon,La démarche n'a pas fonctionné,-,-,-,button
81,Simuler mes droits sociaux,2021/06/09 16:50:07,3493784,Pas bien,"Cela fait plus d'un mois que les résultats lors de la dernière étape ne s'affiche pas, sauf ponctuellement. Cela est valable pour tout le public que j'accompagne.",Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
82,Simuler mes droits sociaux,2021/06/08 21:49:37,3487193,Pas bien,Le résultat de la simulation ne s' affiche pas,Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
83,Simuler mes droits sociaux,2021/06/08 10:58:50,3478344,Moyen,"je trouve dommage que la caf ne s'inspire pas de ce site, car pour eux je n'ai plus a aucun droit",Bon,Bon,-,-,-,-,button
84,Simuler mes droits sociaux,2021/06/08 10:19:51,3477849,Moyen,"Bonjour, il faut savoir à l'avance les nombres qu'on nous demande (en particulier en ce qui concerne les revenues des placements) sinon on reste approximatif. CordiAlement. Christian BUGEIA",-,-,Manque d'informations avant de commencer la démarche,-,-,-,button
85,Simuler mes droits sociaux,2021/06/08 04:35:40,3476100,Très bien,Non,Bon,Bon,-,-,"Internet (site, forum…)",-,button
86,Simuler mes droits sociaux,2021/06/08 00:34:46,3475726,Pas bien,Je n'ai pas de N° d'allocataire et je ne peux pas effectuer une demande d'APL alors que le simulateur m'a calculé un montant que je dois réclamer à la CAF.,Mauvais,Bon,La démarche n'a pas fonctionné,-,Autre,apl,button
