ID,text,label,tweet_type,tweet_topic,clean_tweet,old_tweets
19,"@ @jv5vj اعتقد ان اسلوب stc الحالي هو تطفيش العميل حتى ينسى
حتى مع طويلي النفس تتخذون نفس الاسلوب
لكن التويتر لا ينسى والتغريدات توثق ذلك لي الان اكثر من 10 اشهر على نفس المنوال",Negative,Problem,General,اعتقد اسلوب stc الحالي تطفيش العميل ينسي طويلي النفس تخذون الاسلوب التويتر ينسي والتغريدات توثق 10 اشهر المنوال,اعتقد اسلوب stc الحالي تطفيش العميل ينسي طويلي النفس تخذون الاسلوب التويتر ينسي والتغريدات توثق 10 اشهر المنوال
20,@NASEER_OB @ انصل على رقمهم ترا علطول يخدمونك,Positive,Irrelevant,Employee,انصل رقمهم ترا علطول يخدمونك,انصل رقمهم ترا علطول يخدمونك
21,@s9sb @NASEER_OB @ ارسل له ع الواتساب شدعوه,Neutral,Irrelevant,Irrelevant,ارسل الواتساب شدعوه,ارسل الواتساب شدعوه
22,@ @nll_l5 ردو خاص 🙏,Neutral,Request,Employee,ردو_خاص,ردو خاص
23,"@ اخوي الخاص له 10 شهور محد خدمتي فيه كلهم ماعندهم صلاحيات
ابي شخص عنده صلاحية يحل مشكلتي",Negative,Problem,Employee,اخوي الخاص 10 شهور محد خدمتي كلهم ماعندهم صلاحيات ابي شخص عنده صلاحيه يحل مشكلتي,اخوي الخاص 10 شهور محد خدمتي كلهم ماعندهم صلاحيات ابي شخص عنده صلاحيه يحل مشكلتي
24,@ مساء الخير ، كيف اقدر احط شريحتي الثانيه بجوالي وتكون شريحة غيميه الي تكون بكود ويكون شريحتين بجوالي,Neutral,Request,General,الخير اقدر احط شريحتي الثانيه بجوالي وتكون شريحه غيميه تكون بكود ويكون شريحتين بجوالي,الخير اقدر احط شريحتي الثانيه بجوالي وتكون شريحه غيميه تكون بكود ويكون شريحتين بجوالي
25,@NASEER_OB @ غن لهم كيفه هو الخسران,Neutral,Irrelevant,Irrelevant,غن كيفه الخسران,غن كيفه الخسران
26,@ متى ناوين تحلون مشكلتي معكم؟؟؟,Negative,Problem,Irrelevant,ناوين تحلون_مشكلتي معكم,ناوين تحلون مشكلتي معكم
29,@ حسابك غير مرتبط؟,Neutral,Irrelevant,Irrelevant,حسابك مرتبط,حسابك مرتبط
30,@ شحنت مرتين بتطبيق ماي اس تي سي عن طريق بطاقة الفيزا الخاصة بتطبيق اس تي سي باي وانخصمت عندي من اس تي سي باي ولم يصل الرصيد,Negative,Problem,MY STC,شحنت مرتين بتطبيق_اس سي_طريق بطاقه الفيزا الخاصه بتطبيق_اس سي_باي وانخصمت عندي اس_سي باي ولم يصل الرصيد,شحنت مرتين بتطبيق اس سي طريق بطاقه الفيزا الخاصه بتطبيق اس سي باي وانخصمت عندي اس سي باي ولم يصل الرصيد
31,@ ماهي الطريقه؟,Neutral,Irrelevant,Irrelevant,ماهي الطريقه,ماهي الطريقه
32,@ تك توك من ضمن باقة سوا بوست؟,Neutral,Request,General,تك توك ضمن باقه سوا_بوست,تك توك ضمن باقه سوا بوست
33,"هل ترضيكم هذه السرعة ؟
@ https://t.co/47Z2DvLZco",Negative,Problem,Internet Issues,ترضيكم السرعه,ترضيكم السرعه
34,@ عندي شريحه قديمه اكثر من ٨سنوات اسددها باستمرار الشهر الفائت مانزلت والان مقطوعه ايش العمل عندنا منصه,Negative,Problem,Complaint,عندي شريحه قديمه ٨سنوات اسدها باستمرار الشهر الفاءت مانزلت والان مقطوعه ايش العمل عندنا منصه,عندي شريحه قديمه ٨سنوات اسدها باستمرار الشهر الفاءت مانزلت والان مقطوعه ايش العمل عندنا منصه
35,@ باقي مانحلت المشكلة,Negative,Problem,Irrelevant,باقي مانحلت المشكله,باقي مانحلت المشكله
36,@ ما اقدر اشحن اي رصيد ب my stc ولا احد يرد علي بالتطبيق,Negative,Problem,MY STC,اقدر اشحن رصيد my stc يرد بالتطبيق,اقدر اشحن رصيد my stc يرد بالتطبيق
37,@fhoody1400 @ سوري كنت معصبه شوي 😭,Negative,Irrelevant,Irrelevant,سوري كنت معصبه شوي,سوري كنت معصبه شوي
38,@ عندي استفسار الحين توني طلبت iphone 13 كم مدة التوصيل يوم؟ يومين؟ 🤔,Neutral,Request,MY STC,عندي استفسار الحين توني طلبت iphone 13 مده التوصيل يوم يومين 🤔,عندي استفسار الحين توني طلبت iphone 13 مده التوصيل يوم يومين 🤔
39,@ ردو خاصصصصص,Negative,Problem,Employee,ردو_خاص,ردو خاص
40,@7arf_22 @ @ نفس المشكلة صارت معي اليوم ولي ٤ساعات لاشفت شحن ولا وجعوا فلوسي ولا عندي نت ولا اتصال كيف كذا اخلصوا علينا,Negative,Problem,Financial,المشكله صارت معي اليوم ولي ٤ساعات لاشفت شحن وجعوا فلوسي عندي نت اتصال اخلصوا علينا,المشكله صارت معي اليوم ولي ٤ساعات لاشفت شحن وجعوا فلوسي عندي نت اتصال اخلصوا علينا
41,@ ردو خاص,Neutral,Problem,Employee,ردو_خاص,ردو خاص
42,@fhoody1400 @ اللي يمشي سيدا م اعصب عليه,Negative,Irrelevant,Irrelevant,يمشي سيدا اعصب,يمشي سيدا اعصب
43,@ لم يتم حل مشكلتي حتى الان ❌,Negative,Problem,Irrelevant,يتم حل مشكلتي,يتم حل مشكلتي
44,"@ الاخوه الكرام الى هذا اللحظه لم ترجع الخدمه ارجو افادتي بالسبب ؟ 
من امس الموضوع وتم السداد ولم ترجع الخدمة ؟",Negative,Problem,General,الاخوه الكرام الحظه ترجع_الخدمه ارجو افادتي بالسب الموضوع وتم السداد ولم ترجع_الخدمه,الاخوه الكرام الحظه ترجع الخدمه ارجو افادتي بالسب الموضوع وتم السداد ولم ترجع الخدمه
45,@ @CITC_withU ايش العبط هذا ؟ https://t.co/eAzyqwLyYu,Negative,Irrelevant,Irrelevant,ايش العبط,ايش العبط
46,@ المكان اللي انا فيه لايوجد فيه تغطيه فايبر ابغاء شريحه يكون فيها نت مفتوح,Neutral,Problem,Residential,المكان لايوجد تغطيه فايبر ابغاء شريحه يكون نت مفتوح,المكان لايوجد تغطيه فايبر ابغاء شريحه يكون نت مفتوح
47,"@QURFBekk3BadANv @Riylive1 @ @ السلام عليكم ورحمة الله 
لدي استفسار بخصوص حي الرياض ما هي عيوبه وهل فعلا يفتقر للخدمات ؟ هل يوجد به مراكز صحية ومدارس ومحطات؟",Neutral,Irrelevant,Irrelevant,السلام_عليكم ورحمه_اله استفسار بخصوص حي الرياض عيوبه وهل فعلا يفتقر لخدمات يوجد مراكز صحيه ومدارس ومحطات,السلام عليكم ورحمه اله استفسار بخصوص حي الرياض عيوبه وهل فعلا يفتقر لخدمات يوجد مراكز صحيه ومدارس ومحطات
48,@ ابي حل لمشكلتي شحنت ب١٥٠ ريال عبر تطبيق الاهلي ولا وصلني الشحن على الجوال اول مره تصير لي والتطبيق معا اني كنت مسجله فيه وفاتحته الا انه الان يقولي مره الرقم السري والمستخدم غلط ومره يقولي ليس ل يك بطاقة مدري رقم stcووش الحل لاشحن ولا فلوس,Negative,Problem,MY STC,ابي حل لمشكلتي شحنت ب١٥٠ عبر تطبيق الاهلي وصلني الشحن الجوال مره تصير والتطبيق معا كنت مسجله وفاتحته يقولي مره الرقم السري والمستخدم غلط ومره يقولي يك بطاقه مدري رقم stcوش الحل لاشحن فلوس,ابي حل لمشكلتي شحنت ب١٥٠ عبر تطبيق الاهلي وصلني الشحن الجوال مره تصير والتطبيق معا كنت مسجله وفاتحته يقولي مره الرقم السري والمستخدم غلط ومره يقولي يك بطاقه مدري رقم stcوش الحل لاشحن فلوس
49,@ @hcomplains انا سددت ولازالت البيانات صفر مكتوب بعد ٤ ايام تتجدد والنت ثقيل كيف اشغلها اليوم ؟,Neutral,Problem,Internet Issues,سدت ولازالت البيانات صفر مكتوب ٤ ايام تجد والنت ثقيل اشغلها اليوم,سدت ولازالت البيانات صفر مكتوب ٤ ايام تجد والنت ثقيل اشغلها اليوم
50,@ يا عزيزي النت منقطع لاكثر من ٣ ايام في حي الملقا ، قلتولنا عطل عام لكن متى يخلص؟ عندنا مدارس وعمل عن بعد. شوفوا لنا حل @CITC_SA,Negative,Problem,Internet Issues,عزيزي النت منقطع لاكثر ٣ ايام حي الملقا قلتولنا عطل عام يخلص عندنا مدارس وعمل شوفوا حل,عزيزي النت منقطع لاكثر ٣ ايام حي الملقا قلتولنا عطل عام يخلص عندنا مدارس وعمل شوفوا حل
51,@ كم مرة بنعيد الحركة هذي ؟,Neutral,Irrelevant,Irrelevant,مره بنعيد الحركه,مره بنعيد الحركه
52,"@ السلام عليكم

طالع لي انه عندي مدفوعات متعثرة في رقم جديد مو لي، كيف ارفع اعتراض او شكوى ؟",Negative,Problem,Complaint,السلام_عليكم طالع عندي مدفوعات متعثره رقم جديد مو ارفع اعتراض شكوي,السلام عليكم طالع عندي مدفوعات متعثره رقم جديد مو ارفع اعتراض شكوي
53,"@ السلام
تم سداد اشتراك النت من امس ولم يعمل حتى الان 
اتمنى الرد",Negative,Problem,Internet Issues,السلام تم سداد اشتراك النت ولم يعمل اتمني_الرد,السلام تم سداد اشتراك النت ولم يعمل اتمني الرد
54,@ شبكة الانترنت بالاندرويد مرة ضعيفه بمدينة جدة شارع المائه  نرجو ايجاد الحل,Negative,Problem,Internet Issues,شبكه الانترنت بالاندرويد مره ضعيفه بمدينه جده شارع الماءه نرجو ايجاد الحل,شبكه الانترنت بالاندرويد مره ضعيفه بمدينه جده شارع الماءه نرجو ايجاد الحل
55,@ السلام عليكم هل استطيع الحصول على مودم حديث وجديد اس تي سي لشبكة دي اس ال المنزلية وهل سيكون مجاني ام بمقابل مالي,Neutral,Request,Residential,السلام_عليكم استطيع الحصول مودم حديث وجديد اس_سي لشبكه دي اس المنزليه وهل سيكون مجاني بمقابل مالي,السلام عليكم استطيع الحصول مودم حديث وجديد اس سي لشبكه دي اس المنزليه وهل سيكون مجاني بمقابل مالي
56,"@ https://t.co/PheIReudol

و هذا ايش ؟ تجلسوا تكرروا و تلفوا و تدوروا حول الشكوى",Negative,Problem,Complaint,ايش تجلسوا تكروا تلفوا تدوروا حول الشكوي,ايش تجلسوا تكروا تلفوا تدوروا حول الشكوي
57,@ شوفو حل لنتكم مني قادرة افتح شي,Negative,Problem,Internet Issues,شوفو حل لنتكم مني قادره افتح شي,شوفو حل لنتكم مني قادره افتح شي
58,@ طيب وشلون الطريقة اطلع البركود !؟,Neutral,Request,General,طيب وشلون الطريقه اطلع البركود,طيب وشلون الطريقه اطلع البركود
59,"@ 
سلام عليكم. ودي اطلب تركيب كبينة للبيت، والحي كامل موصل الياف فيه الا بيتنا وجارنا.
كيف طريقة الطلب او التقديم؟",Neutral,Request,Residential,سلام عليكم ودي اطلب تركيب كبينه لبيت والحي كامل موصل الياف بيتنا وجارنا طريقه الطلب التقديم,سلام عليكم ودي اطلب تركيب كبينه لبيت والحي كامل موصل الياف بيتنا وجارنا طريقه الطلب التقديم
60,@ ماعندكم سالفه لا حليتكم مشكله ولا سويتم شي كالعاده stc في تويتر عباره عن هرج...,Negative,Problem,Complaint,ماعندكم سالفه حليتكم مشكله سويتم شي كالعاده stc تويتر عباره هرج,ماعندكم سالفه حليتكم مشكله سويتم شي كالعاده stc تويتر عباره هرج
61,@ كلمتك على الخاص,Neutral,Request,Employee,كلمتك الخاص,كلمتك الخاص
62,@ ليه طيب بالقوه ما ابغى,Neutral,Irrelevant,Irrelevant,ليه طيب بالقوه ابغي,ليه طيب بالقوه ابغي
63,@ لو سمحت فعلت خدمه ولم انتبه انها فقط انترنت وانا ابغاها انترنت ومكالمات مالحل لذالك؟,Neutral,Problem,General,سمحت فعلت خدمه ولم انتبه انها فقط انترنت وانا ابغاها انترنت ومكالمات مالحل لذالك,سمحت فعلت خدمه ولم انتبه انها فقط انترنت وانا ابغاها انترنت ومكالمات مالحل لذالك
64,@ ياليت يرد علي موظف عنده خبره ، كل  واحد له رد يختلف عن الاخرر https://t.co/qM0JlgCn7o,Negative,Problem,Employee,ياليت يرد موظف عنده خبره رد يختلف الاخر,ياليت يرد موظف عنده خبره رد يختلف الاخر
65,@ @alqreshe السلام عليكم استخرجت شريحة اليوم جديده ولما احطها بالجوال ما تشتغل يقول الشريحة لا تعمل وضعتها بجوالين ونفس المشكلة ارجو الرد باسرع وقت 🛑🛑🛑,Negative,Problem,General,السلام_عليكم استخرجت شريحه اليوم جديده ولما احطها بالجوال تشتغل يقول الشريحه تعمل وضعتها بجوالين ونفس_المشكله ارجو_الرد باسرع وقت,السلام عليكم استخرجت شريحه اليوم جديده ولما احطها بالجوال تشتغل يقول الشريحه تعمل وضعتها بجوالين ونفس المشكله ارجو الرد باسرع وقت
66,"@ 
﮼السلام،عليكم،ورحمه،الله،وبركاته 

صَبَاحُ الخَيْرِ STC 
لكم رسالة في الخاص . 

ودمتم بخير .",Positive,Irrelevant,Irrelevant,السلامعليكمورحمهالهوبركاته الخير STC رساله الخاص ودمتم بخير,السلامعليكمورحمهالهوبركاته الخير STC رساله الخاص ودمتم بخير
67,@ يقولون خدمه جوي تي وانا ماعندي وشلون,Neutral,Request,General,يقولون خدمه جوي وانا ماعندي وشلون,يقولون خدمه جوي وانا ماعندي وشلون
68,@ بعد ماينتهي العرض كم حجم البيانات اللي تكون مع باقة ١٧٠ وهل البيانات الزائدة ترحل للشهر القادم أو تلتغي,Neutral,Request,General,ماينتهي العرض حجم البيانات تكون باقه ١٧٠ وهل البيانات الزاءده ترحل لشهر القادم تلتغي,ماينتهي العرض حجم البيانات تكون باقه ١٧٠ وهل البيانات الزاءده ترحل لشهر القادم تلتغي
69,@Khaled_Biyari @ ردوا حسبي الله عليكم,Negative,Irrelevant,Irrelevant,ردوا حسبي اله عليكم,ردوا حسبي اله عليكم
70,@ لو سحمت ابي الباركود حق الشريحة حقتي عشان ابي احطها شريحة الالكترونية كيف اطلعه,Neutral,Request,General,سحمت_ابي الباركود_حق الشريحه_حقتي عشان_ابي احطها_شريحه الالكترونيه_اطلعه,سحمت ابي الباركود حق الشريحه حقتي عشان ابي احطها شريحه الالكترونيه اطلعه
71,@ لو سمحت بطاقتي stcpay فيزا وماتقبل تنشحن الا من فيزا، كيف احولها مدى ؟,Neutral,Request,STC Pay,سمحت بطاقتي stcpay فيزا وماتقبل تنشحن فيزا احولها مدي,سمحت بطاقتي stcpay فيزا وماتقبل تنشحن فيزا احولها مدي
72,"@ يخي اقول لكم المديونية مو لي تجلسوا تقولوا لي المبلغ اللي في المديونية ليش ؟!؟ اقول لك ابغى اشتكي و اعترض. ايش الاستهبال هذا ؟

@CITC_withU  STC يستهبلون و مو راضيين يستلموا شكوتي",Negative,Problem,Financial,يخي اقول المديونيه مو تجلسوا تقولوا المبلغ المديونيه ليش اقول ابغي اشتكي اعترض ايش الاستهبال STC يستهبلون مو راضين يستلموا شكوتي,يخي اقول المديونيه مو تجلسوا تقولوا المبلغ المديونيه ليش اقول ابغي اشتكي اعترض ايش الاستهبال STC يستهبلون مو راضين يستلموا شكوتي
75,@ @hcomplains ليش جالسة احاول اشترك في باقة انترنت ويقول عذراً لا استطيع ارسل المساعدة!!!! ايش فيه؟,Negative,Problem,System Problems,ليش جالسه احاول اشترك باقه انترنت ويقول عذرا استطيع ارسل المساعده ايش,ليش جالسه احاول اشترك باقه انترنت ويقول عذرا استطيع ارسل المساعده ايش
76,@ مافيه امل تجون تصلحونه الحين خيرر نتظر لبكرا,Negative,Problem,Residential,مافيه امل تجون تصلحونه الحين خير نتظر لبكرا,مافيه امل تجون تصلحونه الحين خير نتظر لبكرا
77,"@ @ السلام عليكم
هل أستطيع نقل رقمي من موبايلي إلى اس تي سي بشكل مباشر من خلال فرع اس تي سي؟
أم فقط من التطبيق؟ وإذا كان من التطبيق فكم مدة إجراءات نقل الاسم؟",Neutral,Request,General,السلام_عليكم استطيع_نقل رقمي_موبايلي اس_سي بشكل_مباشر خلال_فرع اس_سي فقط_التطبيق التطبيق_فكم مده_اجراءات نقل_الاسم,السلام عليكم استطيع نقل رقمي موبايلي اس سي بشكل مباشر خلال فرع اس سي فقط التطبيق التطبيق فكم مده اجراءات نقل الاسم
78,"@ هل هناك رسوم عند تحويل رقم الجوال من مفوتر إلى مسبق الدفع ؟؟
@",Neutral,Request,Financial,رسوم تحويل رقم الجوال مفوتر مسبق الدفع,رسوم تحويل رقم الجوال مفوتر مسبق الدفع
79,@ هل ذوي الاحتياجات الخاصه خصم ٥٠٪     يشملهم باقه ٤ و  ٣ شرائح مجاناً؟؟؟؟ ارجو الرد هل يشمل الشرائح كذلك,Neutral,Request,Product Prices,ذوي الاحتياجات_الخاصه خصم_٥٠٪ يشملهم باقه_٤ ٣ شراءح مجانا ارجو_الرد يشمل الشراءح,ذوي الاحتياجات الخاصه خصم ٥٠٪ يشملهم باقه ٤ ٣ شراءح مجانا ارجو الرد يشمل الشراءح
80,"@ 

ترى انا طفشت كل ماشحنت رصيدي سحبتوه علي من غير وجه حق",Negative,Problem,Financial,تري طفشت ماشحنت رصيدي سحبتوه وجه حق,تري طفشت ماشحنت رصيدي سحبتوه وجه حق
81," @ السلام عليكم
هل أستطيع نقل رقمي من موبايلي إلى اس تي سي بشكل مباشر من خلال فرع اس تي سي؟
أم فقط من التطبيق؟ وإذا كان من التطبيق فكم مدة إجراءات نقل الاسم؟",Positive,Request,General,السلام_عليكم استطيع_نقل رقمي_موبايلي اس_سي بشكل_مباشر خلال_فرع اس_سي فقط_التطبيق التطبيق_فكم مده_اجراءات نقل_الاسم,السلام عليكم استطيع نقل رقمي موبايلي اس سي بشكل مباشر خلال فرع اس سي فقط التطبيق التطبيق فكم مده اجراءات نقل الاسم
82,@ لو سحمت ابي الباركود حق الشريحة حقتي عشان ابي احطها شريحة الالكترونية كيف اطلعه,Neutral,Request,Technical,سحمت_ابي الباركود_حق الشريحه_حقتي عشان_ابي احطها_شريحه الالكترونيه_اطلعه,سحمت ابي الباركود حق الشريحه حقتي عشان ابي احطها شريحه الالكترونيه اطلعه
83,@ انتظر التركيب الي الان لم يتم,Negative,Problem,Residential,انتظر التركيب يتم,انتظر التركيب يتم
84,@ رديتوا على شكواي قبل سنة... شكواي منذ اسبوع الان يصلني موجود وليس رقمي لوحدي بل جميع من في المنزل ويزورني,Negative,Problem,Complaint,رديتوا شكواي سنه شكواي اسبوع يصلني موجود وليس رقمي لوحدي المنزل ويزورني,رديتوا شكواي سنه شكواي اسبوع يصلني موجود وليس رقمي لوحدي المنزل ويزورني
85,@ السلام عليكم ورحمة الله وبركاته لدي مشكلة عدم وصول الرسائل النصية للجوال,Negative,Request,System Problems,السلام_عليكم ورحمه_اله وبركاته مشكله عدم وصول الرساءل النصيه لجوال,السلام عليكم ورحمه اله وبركاته مشكله عدم وصول الرساءل النصيه لجوال
86,"@ بغيت اسوي عقد عندكم ١٨ شهر ٢٠٠ ميجا لكن بتعقيدكم هذا رحت لشبكة زين
من الأخر @ZAINKSA عروضها برقبتكم",Negative,Problem,Complaint,بغيت اسوي عقد عندكم ١٨ شهر ٢٠ ميجا بتعقيدكم رحت لشبكه زين الاخر عروضها برقبتكم,بغيت اسوي عقد عندكم ١٨ شهر ٢٠ ميجا بتعقيدكم رحت لشبكه زين الاخر عروضها برقبتكم
87,@ رسايل تطبيقات البنوك  ورسائل شحن الجوال ما توصلني كذلك خدمه موجود و رموز تحقق نفاذ ايش السبب,Negative,Problem,System Problems,رسايل تطبيقات البنوك ورساءل شحن الجوال توصلني خدمه_موجود رموز تحق نفاذ ايش السب,رسايل تطبيقات البنوك ورساءل شحن الجوال توصلني خدمه موجود رموز تحق نفاذ ايش السب
88,@ لي اسبوع عزيزي مفعل خدمة التذكير و الرغبات وللاسف كل فروع الخبر ماهي متوفر فيها الاجهزه الحديثه من سامسونج عكس الايفون اغلب الاجهزه متوفره ؟!,Negative,Request,General,اسبوع عزيزي مفعل خدمه التذكير الرغبات ولاسف فروع الخبر ماهي متوفر الاجهزه الحديثه سامسونج عكس الايفون اغلب الاجهزه متوفره,اسبوع عزيزي مفعل خدمه التذكير الرغبات ولاسف فروع الخبر ماهي متوفر الاجهزه الحديثه سامسونج عكس الايفون اغلب الاجهزه متوفره
89,@ ممكن تردون على الخاص,Negative,Request,Employee,مكن تردون الخاص,مكن تردون الخاص
90,"@ السلام عليكم
هل أستطيع نقل رقمي من موبايلي إلى اس تي سي بشكل مباشر من خلال فرع اس تي سي؟
أم فقط من التطبيق؟ وإذا كان من التطبيق فكم مدة إجراءات نقل الاسم؟",Negative,Request,General,السلام_عليكم استطيع_نقل رقمي_موبايلي اس_سي بشكل_مباشر خلال_فرع اس_سي فقط_التطبيق التطبيق_فكم مده_اجراءات نقل_الاسم,السلام عليكم استطيع نقل رقمي موبايلي اس سي بشكل مباشر خلال فرع اس سي فقط التطبيق التطبيق فكم مده اجراءات نقل الاسم
91,"@ محدث لاخر اصدار
حاولت 4 مرات ونفس المشكلة",Negative,Problem,Technical,محدث لاخر اصدار حاولت 4 مرات ونفس_المشكله,محدث لاخر اصدار حاولت 4 مرات ونفس المشكله
92,@ @ @ عزيزي تم ارسال استفسار على الخاص نأمل الأطلاع,Neutral,Request,General,عزيزي تم ارسال استفسار الخاص نامل الاطلاع,عزيزي تم ارسال استفسار الخاص نامل الاطلاع
93,@ طيب رقم الميت متى ينلغي هذا سؤالي ؟ كيف كذا فجأه وهو شريحته راحت مع جواله في الحادث💔,Neutral,Request,General,طيب رقم الميت ينلغي سءالي فجاه شريحته راحت جواله الحادث,طيب رقم الميت ينلغي سءالي فجاه شريحته راحت جواله الحادث
94,@ الله يلعن رداوة النفس يالقصمنجي,Neutral,Irrelevant,Irrelevant,اله يلعن رداوه النفس يالقصمنجي,اله يلعن رداوه النفس يالقصمنجي
95,@ انا جوي وتقفلت شبكتي ايضا وجوي تبع stc,Negative,Problem,Technical,جوي وتقفلت شبكتي وجوي تبع stc,جوي وتقفلت شبكتي وجوي تبع stc
96,@ أتمنى الرد على الخاص,Negative,Problem,Employee,اتمني_الرد الخاص,اتمني الرد الخاص
