,Unnamed: 0,title,Sentiment
30,53,removal of special status under  article     will lead to kashmir’s allround development hm amit shah says  kashmirlooksahead  timesofindiaindiatimescomindiaremoval    …,1
31,54,why were you sleeping before abolishing  article     suddenly all of you woke up to nda’s right calls you need to spend some time at correctional center support nda for one good reason and give us better future,1
32,56,propaganda machinery in full swing  you must be dearly missing mommy sonia gandhi and  article     well both aint coming back lady,1
33,57, kashmirwithmodi due to the revocation of  article     the rights and responsibilities of every citizen in the country have become equal says pm modivia namo app,0
34,60,abrogation of  article     was similar to balakot air strike whenever this government is unable to answer economic issues they divert d attention to misguide general public why it took  years for them to do this action since  when it was in their manifesto since ,0
35,61,shobhaa dewho dance to paks tune stays in bungalow worth croresbarkha duttwho support terrorists has crores of propertiescong leaderswho oppose ban of  article     have crores of assetsbutpatriots like me who chant bharat mata ki jaihappily stay in a rented house,1
36,62, ndtv  it our jammu kashmir now pls     article  in pok and baluchistan so they can live freely and independently because pakistani torture the people,1
37,64, re  pakistan punched by indias  article     move dumbstruck and desperate heres what pakistan could now do  sushantsareen       ,0
38,65,pakistan rebuffed on all fronts in its effort to seek international mediationintervention in its campaign against new delhi’s move to turn  article     into a dead letter and bifurcate jk into  uts biggest setback for pak came in the form of a un  virtual rejection,0
39,66,nothing is normal in kashmir after revoking of  article     no violence for a complete week is definitely abnormal for kashmir and liberalskashmir  ,1
40,68,after india removed  article     after loss of  lakh lives since  because of radicalisation in kashmir pakistan is shouting jihad in jnk they say now they hve right to arm every kashmiri   mobilereuterscomarticleampid    …,1
41,69,ill show you plenty of interviews of kashmiri muslims who are happy with the deactivation of  article     so what does that prove,1
42,72,quite natural kashmiri sultanate which was carried on under a facade of democracy under  article     has ended people of jammu and ladakh have found freedom at last no need to salute the red flag of kashmiri sultanate   twittercomshaswatidasst    …,1
43,73,by annulling  article     people fm the rest of india will now have the right to acquire property in occupied kashmir n settle there permanently which is aimed at to alter the demography of kashmir and conversion of the muslim majority into minority pakindependencewithkashmir,1
44,74,congress is no one to decide whether removing    was unconstitutional or not it will be decided by sc so plz don’t jump to conclusion ryt away nobody is going to be fooled now because everyone has seen real face of congress removing  article     is recorrecting nehru’s blunder,1
45,75,tributes to bharat ratna atalbiharivajpayee  on his  punyatithi tday bjp might enjoy majority  has successfully abrogated  article      integrated kashmir but we must neva forget that vajpayee  advani were d foundation fr a strong nationalistic bjp we are witnessing tday  ,1
46,76,decisions on  article     triple talaq within  weeks of new government narendra modi   lnkdingzjyeet  ,1
47,77,kashmir pakistan tries to isolate india over  article     gets a reality check  news analysis news   indiatodayinnewsanalysis    …,0
48,78,abe chhaman in past  years no government has abolished  article     you pls leave it to competent people you concentrate on delhi election are near,1
49,79, should go to un with full powerful msg that either they should play their part and ask india to undo this  article     or everyone should be ready for nuclear war enough is enough already we are always tagged extremist so let finish it once for all,1
50,80,article     abrogation is not legally right,0
51,83,some of my neighbours have taken out solidarity marches and strangely few of my family family members are also in their supportnote this message is not connected to  abrogation and defanging of  article         ,0
52,84,so far modi  has done away with triple talaq revoked  article     announced a cds and now rajnathsingh  is tweeting about a modification of nfu  and an ayodhya ruling is coming and uniform civil code promises to be a game changer congratulations to pm narendramodi,0
53,87,congress is more panicked on abrogation of  article     than pakistan,1
54,88,article     and nuclear tests two great pms two extraordinary legacies       …,1
55,89,i dont understand the pakistan states hypocrisy over protesting revoking  article     you want me to take your protest seriously after you revoked special status to gilgit baltistan and filled that area with mainland pakistanis,1
56,91,fake and forged i can even photoshop trump supporting removing  article      ,0
57,92,and congress leaders speak pak line support pakistan on  article     congress leaders love pakistan and hate india eyes are useless when mind is blind,0
58,93,pacifist views abhorrence of war empathy for all besieged people constant focus on peace and imperativeness of dialogue  only when the other side is on receivingend of statesponsored terrorism from your country  article     like your establishments charade is now gone,0
59,97, taapsee  anjanaomkashyap  aajtak  akshaykumar  just heared tapasees statement on  article     and realised that how dumb and useless actresses we have only on screen doing naam shabana like character and no courage to support this historic move no knowledge of this issue,0
60,98,rahul allies thrived on jk tense atmosphere so crying foul over scrapping  article     jitendra singh   zeenewsindiacomindiarahulal    …,0
61,100,rt insafpk narendra modi  rss are acting like modern day hitler  nazis the “ethnic cleansing” of muslims in kashmir by scrapping of  article     that will further manifest as an attempt to tamper the demographics of kashmir pakistan condemns it o…   ,1
62,101,pakistani people knows shit revoking useless  article     and making kashmiris people as pure indians is equivalent to freedom for those peopleindia got greater economy from now kashmiri would join and make still greaterkashmiri is safest nowthan ever,1
63,105,may be for a week or a month but at the end of it  article     is no more,0
64,106,sardar patels notable achievement on jk insertion of  article     in constitution      ,1
65,108,union minister jitendra singh on august  hit out at the congress for fearmongering after abrogating provisions of  article     for its own survival,1
66,110,article     is gone long live kashmir     gonelonglivekashmir   …,1
67,114,initial ground feedback from across india is there is overwhelming support for kashmir reorganization and abrogation of  article     including tamil nadu,1
68,116,article     and  surely had some objectionable content however they were persistent in minor level the removal of the articles however are of no use in terms of securing human rights or calming down the       …,1
69,118,this fraud vijaysethuoffl  should feel the heat for supporting  article    is this dumb know what is  article    ,0
70,120,after  article     sanghis are going to work on following in coming months one nation one election lets fool people once only population control focus on particular community,1
71,121,during corrupt italian congress rule in kashmir and other side child with school books leaving to school after abrogation of  article     and   ,0
72,123,that’s what happens when muslims pretend to be patriotic to the non muslim nation they immigrate to islamization and kuttagiri first and foremost this is exactly why scrapping  article     is aimed at repopulating kashmir with non muslims,1
73,125,people from opposition are barging with criticism on govt that they failed to identify the issue before it could have startedlike they have mentioned various signals which could have guessed that they are about to remove  article     from their constitution,0
74,127,dear sweety so sad that you were not even aware of others existence in j and k  so selfish are these kms me myself  allah wanted  article     to go remember allah ke bahir ek patta neigh hilta allah ki marzi hai kubool karoallah is with dalit noe  ,0
75,128,it  article     abrogation will enable the people to access and enjoy the same rights same privileges and same facilities as their fellow citizens in the rest of the country presidentkovind  said while addressing the nation on the eve of the  independenceday ,1
76,129,the government  on august   revoked  the ‘special  status ’ granted to the state of jammu  and kashmir  under article     of the indian constitution  and also repealed   article   the government has also proposed  to split  the state into two union  territories  ,1
77,131,its  article     you idiot and secondly kashmir is indian territory what we do within the framework of constitution is our business why do take up antisemitism with ilhanmn   rashidatlaib    twittercomhasanminhajst    …,0
78,132,within  weeks of new government formation several path breaking decisions have been taken such as removal of  article     the end of triple talaq steps for the welfare of farmers and traders pm narendramodi  independencedayindia,1
79,133,shocked by the abrogation of  article      ,0
80,134,at unsc china and pakistan fail to censure india over  article       livemintcomnewsindiaat    …,0
81,136,‘if  article     was so important why was it kept temporary for  years’ pm modi’s stinging attack on congress in iday speech   financialexpresscomindianewspm    … via namo app ,1
82,137,please watch his other clip of the same day where he explains how  article     is an internal matter of india one clip seen in isolation isn’t good to judge,1
83,140,modi did what nehru wanted to but couldn’t on  article      the new indian express   newindianexpresscomopinionscolum    …,1
84,141, narendramodi  amazing speech mann bahut utsahit hai aaj sir it will be my honour to get the pagdi on the occassion of first independence day when my country has release from the disease of  article     salute to youno words ,1
85,144,response from india representative to un to media related to revoking of  article           …   we the people deceived by corrupt un  nation politicians media  by war let india republic refined include iran afghan pakistan bangla e  se asia india reform unsc,0
86,145,article     and nuclear tests two great pms two extraordinary legacies       …    atalbiharivajpayee  indiannucleartests  via rightlogin,1
87,146,unfortunately u people only bark in social media reality is  article     abrogatedand kindly hear yr eam no country will support pakistan in kashmirthis is the check nd mate i this kashmir game nd u loose it already try to save pok god knows,0
88,148,mr goyal this picture wouldn’t describing soberness that you explaining after removed  article     narendramodi  amitshah  sir is this the way that you allowing your chip ministers to present their happiness related to kashmiri’s women or people action must be taken agnst him,1
89,149,we still believe india is grt democratic country and these  strong leaders were appointed by the people  is some least portion of indian people who were against these present govt thinks tht removing of  article     is not right n than let them think n live with it,1
90,150,what a heartbreaking sight this isthese kind of pictures make us believe more in our decision of abrogation of  article     time is right can’t allow them to play with the lives of children like this indiaforkashmir  twittercommajorgauravary    …,1
91,151,abrogation of  article     by modi  new india govt will truly usher a new era of social justice both in ladakh region  jammukashmir and there will certainly be a new dawn of development with many big cos willing to invest there to meet all aspirations of indian youth now   twittercomrammadhavbjps    …,1
92,152, it was important to make it more transparent coz of  article     the likes of mehboba mufti  farooq abdullah were eating kashmirs money in fact if u see their records india has spent more tax payers money over  in kashmir all these years compare to assam   yet assam,1
93,156,because mahabooba married to a pakistani her daughters are pakistani but as per  article     if a kashmiri women married to a pakistani than pakistani husband get kashmiri citizenship so now daughters are indian and take e very benefit from india and work at very sensitive place,1
94,158,article     jammu will be  most vulnerable now it will need special security says former raw chief as dulat   nationalheraldindiacomnationalartic    …,1
95,161,shah used his adminstrative experience and predicting that humen jk people cannt live with out  basic need of human is not food shelter and good governace but  article     he firmly believe that absence of  will urge the hunger of violence in human well said,1
96,163, kashmirwithmodi the abolition of  article     will herald a new dawn for the people of jammu  kashmir this will open new avenues of employment economic prosperity  freedom for the people of the state,1
97,165,imagine such hypocrites becoming a pm they’d scrap  article     before an election and might bring it back after the election again,1
98,166,the first is the reaction of the already deeply alienated kashmiri youth modi correctly anticipated that abolishing  article     would make them erupt in even greater paroxysms of anger than did the death of burhan wani in     thewireinpoliticskashm irspecialstatusrevocationfinalbetrayal   …,1
99,168,article     never prevented anybody to invest in jammu and kashmir these are half baked which are peddled on daily basis,0
100,169,doesnt  support for  article     in both houses of parliament matter sad we have people like you who provide fodder to pakistan for its anti india campaign,0
101,173,just to remind u ur  role model kejriwal has supported abrogation of  article    how abt a quick trip to pak and celebrate eid with ur  role model imrand,1
102,174,for you infoun  has called special meeting on iok on friday after this controversial territory was tried to swallow through  article           …,1
103,175,bbc news showing glimpse on jk and ladakh and bbc trying to expand wrong news because no video showing any banner or poster against    and  which prove video is taken before the removal of  article     and  and manipulated,0
104,176,go ahead and see the latest video of sekhar gupta on the  article     being abrogated you will understand the veracity of the issue,1
105,177,pm’s gift to the youth of jk abrogation of  article     has opened up possibilities of increase in employment and economic growth  anirbanganguly        ,1
106,179,will there be an  article     in its place first it was a pity that chidambaram was once the union home minister,1
107,180,you are right sir jk was muslim majority that why bjp removed  article    oh thats why nehru given the gift of    only muslim majority stateif this  article  was so good why hindu majority state was not benefited by this  article muslim impeechment was started by nehru,1
108,181,abe chutiye its  article     atleast try to know the fact first btw do you even know kashmir  just because you are muslim does not make you an automatic sympathizer check your facts first,1
109,182,after abrogation of  article     i consider this as true independence our country has got after   yearsthanks to union governmentprime minister narendra modiji and amit shahji⁦pmoindia ⁩ ⁦narendramodi ⁩ ⁦ ⁩ ⁦ ⁩ ⁦amitshah ⁩ pictwittercomgfsmqqejhu,1
110,183,contdindian leftist trash is more antiindia in narrative than the original paki channels sometimes headlines on indian leftist trash portals are so antiindia that pakistani dawn looks like a very balanced paper for indians to read example  article      related news,1
111,185,many say  article     never benefited them and neither will the removal change anything however they don’t want to say this on camera there are few voices who feel things will be better but again don’t want to say this on camera or be quoted,1
112,188, rt    as a legislator i firmly believe  article     shouldve been removed long ago as a home minister there was no confusion in my mind about the consequences of removing it im confident terrorism in kashmir will finish  itll move ahead …  ,1
113,189,kashmir not happy with abrogation of  article     as media and govt claim     ,0
114,190,there is no direct connection between the marital choices of kashmiri women and  article     but of course men who regard women as property will see this nonexistent link,0
115,191,is this viral video of kashmiris protesting against revocation of  article     real         …,1
116,192, jmscindia  sir i am proud of you your stand on  article     is appreciated by people of india you have guts happy independence day,1
117,195,it is difficult to make a paki understand that situation is different heredont forget he is still alive even after pak military ordered to kill him also i have seen what pakistan is doing after abrogation of  article     only crying next pokin india  free balochistan,0
118,196,national security got actually endangered by putting  million people under arbitrary open detention it got endangered by cutting off the tie  article     kashmiris had with indian union one cannot annex territories and hope things will be fine,0
119,197,thank you for your wonderful work with getting un on our side for on  article     situation ,1
120,199, congresskafamilydrama   days after electionsbjpformed govt in karnatakaremoved  article     made ladakh union territorypassed triple talaq billlargest membership drivemade extremely strict antiterror lawscongress son gave congress president post to mother,0
121,200,superb performance akbaruddinindia  your pc regarding unsc close door meet indias position on kashmir situation post scrapping of  article     and preconditions of bilateral talks with pakistan is an example of best traditions of diplomatic excellence    ,1
122,201,by going against abolition of  article     incindia  is digging its own grave because people of india are watching them the real congress face is clearly getting exposed now,1
123,203,post abrogation of  article     current established companies like aegis customer support services are winding up operations and asking employees to put down papers and look for other options what a start pmoindia  ndtv  amitshah  aegisonline  shashitharoor  ajenglish,0
124,207,kashmir constitution lapses with abrogation of  article     this is how most indians including me see it to a potential jihadist everything appears as murder what say shahfaesal  ,1
125,208,article     deterred development in jk statistics prove state to be better than many others     terreddevelopmentinjkstatisticsprovestatetobebetterthanmanyothers   …,1
126,209,more than  crore people supporting government decision to revoke  article      now tell me what you want to say  ,1
127,210,after dismissing  article     indian government has losed ligial position about kashmir resolution i appeal to uno plz allow to kashmiri nation for establishing a new ligial forum themselves,1
128,211,dates and schedule wont match because hell be busy shooting  article     chandrayan ,1
129,212,pakistan has no choice but to stop the exports of terrorism after revoking  article     rightly said by pm narendramodi  india has  tolerance over terrorism he also said that he will force pakistan to stand alone in front of world thats happening      …,1
130,213,days after  article     was taken down unknown miscreants vandalise shyama prasad mukherjee’s statue in rajasthan       …,0
131,214,i thought twice if i should read and then decided not to namo corrected a historic wrong and these people cant digest  article     abrog is good for india and indians periodbad for india parasites,1
132,215,lock down for a long time is in itself an acceptance of committing a blunder in the form of lifting  article    ,0
133,216,reportedly the visa was given  days before the kashmir issue  article     still i condemn this im totally against all this bollywood shit in pakistan we are losing our precious forexim glad  imports from india suspended by our government its a big saving,1
134,219,its very proactive why he did not say anything when kashmiri hindus were driven away from the valley if he cannot support the scraping of  article     let him shut his mouth he is creating unjust in j  k,1
135,222,either way india’s security and diplomatic establishment has far more to deal with in the coming months than just pakistan’s response to the abrogation of  article        hebifurcationofjammukashmirtellsusaboutindiaschinastrategy   …,1
136,224,article     magsaysay awardee sandeep pandey put under house arrest in up    gsaysayawardeesandeeppandeyputunderhousearrestinup   …,0
137,225,protest outside the indian consulate in nyc against india’s brazen occupation of kashmir and the striking down of  article     freekashmir ,1
138,226,ur land stop dreaming so called  article     is no more nd if u go with d history then go nd look  yr ago its d place of shankaraachaary ji nd dont worry the way govt kick ur ass will do same with all separatists,0
139,227,he said with repealing of  article     it would now be possible for haryana boys to find suitable brides in kashmir nothing misogynist in his assertion,1
140,229,my point is  article       was misused by radicalist in valley for jihad spreading hate  poison in the minds of youths so its not question of hindu or muslim majority if  article  was not misused there would not have been terrorism practised,0
141,230, majorgauravarya     meconomictimescomnewspolitics    …  sir now russia backs indias decision to revoke  article     pakistani should now put a full stop on kashmir banega pakistan,1
142,231,that reporter is a jokerwhen congress has already made its official stand clear on    through a press release why was he insisting on her views on    article     is a complex subjectprobably he wants to sensationalise by getting some casual remark on    from her,0
143,234, pchidambaramin  you paint  propegate the abrogation of  article     as communal move to make hindus happy since kashmir being a muslim majority state what was the fault of hindu kashmiri pandits who were literaly thrown out of the valley  this move has closed your terer shop,1
144,236,i hope some intelligent person can give a good rebuttal to this first well researched  article  thewirein   from kashmir  and    to partition   s hatred of nehru  is fuelled by falsehoods  thewireinhistoryfromk    … via googlenews,1
145,238,you thought modi couldn’t scrap  article     he did it now you’re thinking the world will keep buying the twisted narrative of pakbacked islamists you will lose again insha allah,0
146,239,ab vajpayee wanted to end    so how can you say that narendramodi   and amitshah   combine has repudiated what is so inhumane and undemocratic you find in abrogation of  article     please give up this negative narrative and join the mainstream for now,0
147,240,rahul ji appeal and wish to kashmiri people to accept the  article     has been scrapped and should move for development and prosperity be prepared for coming election in jk  otherwise no one support congress anywhere act according to  situation for better future of congress,1
148,241, aajtak  i agreedemocracy escaped miraculously from the clouches of  nehrugandhi  communists  their shoe licker followers o eg youif you dont ustand study aborgation of  article    which was notified  to save half brother shaikh abdullahwho was jailed by hsinghaaathuuu,0
149,242,hi hasanminhaj  i think you have no idea between  article     and section    apparently it’s  article     not section   ,1
150,243,to the so what else could govt have done question the way to do it is to elect a government every five years ask the people of kashmir through a special referendum – the part which is our control – do you want continuation of  article     or not  thequintcomvideosunderst    …,1
151,244,wasnt confused about consequences of removing  article     amit shah    indiatodayinindiastorywa    …  via indiatoday,0
152,249,seems you want to lecture me on so many things rather than discussing abrogation of  article     pl answer my very pointed question if wish to have discussion precise answer for a pointed question please,1
153,253,kashmir not happy with abrogation of  article     as media and govt claim       via youtube,0
154,255,sikh community’s brave decision on kashmir  article     ii sikhs for jus       via youtube,1
155,258,article      a fresh view at   rediffcomnewsinterview    … ,1
156,260,answer to what are some surprising reactions you witnessed after scrapping  article     in jammu and kashmir by abhinaya roopa   quoracomwhataresome    …,1
157,261, priyankagandhi  are you aware that  article        was inserted through back door in constitutionwithout going before parliament   members support so dont brag  behind constitution the problem of todays india is legacy of ptnehru  mrsgandhiur losing ground mam,0
158,262,article     kashmir news reuters report says  plus people teargassed and pelleted after friday prayers pti says all’s well and peaceful  newsxcomnationalartic    …,1
159,263,article     gone from jk why congress opposed now seems apparent but will it ever be last in this partyson resigning  mother joining this is really a use of brute executive power in democratic replic,1
160,265,anupam khers mother expressing her joy after hearing the news of the scrapping of  article     she is one of the thousands of kashmiri hindu who were driven out of kashmir by pakistan funded fundamentalistspls watch the video even if you dont understand the language   twittercomanupampkherst    …,1
161,266,which world do you live in also have you turned a journalist suddenly after  article     abrogation,1
162,267,new borders in india  with the dismantling of  article     the bharatiya janata party has stripped the indian state of jammu  and kashmir  of its autonomy check out gpf s weekly graphic  for more    ,1
163,269,after congress opposition of abrogation of  article     many hardcore congress supporter s have stopped supporting congresspeople must realise that gandhi family has no interest in future of indiathey just want to rule india by importing voters from bangladesh,1
164,271,i don’t understand the concept of ‘decisions’ with stakeholders in regards to    mufti and abdullahs were the most rewarded families because of the  article  and whole else is left hurriyat brain washed stone pelters“yank off the bandage” was the only way out   twittercomcchristinefair    …,1
165,272,acxording to chidambaramjk was muslim majority that why bjp removed  article    oh thats why nehru given the gift of    only muslim majority stateif this  article  was so good why hindu majority state was not benefited by this  article muslim impeechment was started by nehru,1
166,274,this tweet is for pakistan pm mr imran khan pls dont waste your time energy on removing  article     bcoz kashmir hum hindustaniyo ka tha hain aur rahega hindustan maa hain aur pakistan uska beta hain pakhumiliated ,0
167,277,“don’t waste our time” sc slams advocate for filing a ‘defective petition’ against  article         download roz dhan app now    ,0
168,278,awareness of what lol called pr nothing else to ease the  article     backlash from the foreign media,1
169,279,all opposition parties r just thinking how easily the   narendramodi  can remove  article     and  why nothing has happened yet they r expecting some tragedy so they can create issue they dont want any type of peace which is vry bad thinkingrahulchallengesmodi,0
170,280,first of all its  article     not section    jahil hi rahoge jha bhi rahoge madarsha chap,1
171,281,do you realise what had happened in un  while pakistani media is busy in glorifying that kashmir is discussed internationally but reality is no one have said to india to revoke  article      they why pakistan wasted so much money when result is ,1
172,283,moeen theek kah raha hai  article     is a constitutional response to what we have been doing across loc since  that is no good policy post ,0
173,284,please mr gandhi take a break from your mobile phone why only you we all  will visit the valley have patience you will have different kashmir after few days moreover you visit or not it hardly matter because your partys stand on  article     is on confused mode,0
174,285,“scrapping  article     will increase terrorism in kashmir” former raw c       via youtube,0
175,287,maabetainfinite there is  article     in congress that no other then sonia family can be the president of the the familyparty therefore there is unrest in congress and few incidents of leavecongress are emerging pappu veil of secrecy is lifted regarding leavecongress  ,0
176,289, un  amnesty  unwomen please dont watch  please actpatriarchy in garb of patriotism desperate men rush to find kashmiri girls after  article     is revoked       … kashmirisbleeding  endofkashmirblockade  kashmir  srinagar,0
177,291,we had invited  people but nobody will be able to comecouples in jammu and kashmir have had to cancel weddings in wake of the effective abrogation of  article     as a curfew and communications blackout has played havoc with everyday     ,1
178,292,come on brother dont hide yourselves behind filthy logics article     has been revoked because it was being used by kashmiris against indiakashmiri muslims have taken anti india stand not same problem in sikkim,0
179,295,article     kashmiri women become subject of lewd messages  viewpoint       via youtube,0
180,297,prof hameeda naeem explains legal status of  article     on kashmir  correction she is not the daughter of the last ruler of kashmir however what is spoken is the truth and correct interpretation with respect to illegal occupation of india in kashmir  ,0
181,298,i as a inhabitant of jk along with all the inhabitants of jammu ladakh  kashmir welcome scrapping of  article     only those  who oppose scrapping of    are radicals and separatists who are supported by pakistan we r happy don’t nee you in jk,1
182,299, webduniacheck  kashmirstandswithmodi   national conference challenges abrogation of  article     more details by   ,1
183,300,jk journalist detained in midnight raid in valley first since  article     diluted  india news the indian express   indianexpresscomarticleindia    …  via indianexpress,1
184,301,article     or triple talaq are old vexed matters on tt the muslim clergy is as aggrieved as hindu hardliners were when parliament legislated on hindu personal lawsmuslim clergy were clearly successful in making some muslim women defend something abhorent as nikah halala,1
185,302, kashmirwithmodi today in the true sense is india united longstanding concerns of the people of jammu  kashmir and ladakh are finally being addressed with the end of  article     many discriminatory practices too came to an end via namo app,1
186,303,this is how the  chess ♟ was played over the politics of kashmir for checkmating  article    bjp has done all of us himalayan proud  myindnethomeviewartic    …,1
187,304,i see you arent aware of kashmiri pandits who are the original occupants of kashmir and were massacred in the  and made run away in millions if you read the horrific accounts you may rethink why its not a good idea for india to keep  article     only served one religion,0
188,307, shivaroor   the joke is in bad taste and doesn’t suit existing environment by this he is making a mockery of the kashmiri girls as situations have changed due to abrogation of  article     even before that one could marry a kashmiri but with no inheritance rights,0
189,308,assamharyanachandigharandhra pradesh were also changed  they’re hindu states but revocation of  article     for develoments  betterment’s these congress morons try to divide  rule   shameful señorita   twittercomindiatodaysta    …,0
190,310, kashmirwithmodi  it is modi govt which is finally fulfilling the aspirations of the people of jk the tyranny of the decades old law finally came to an end by showing  article     the door the govt reiterates that jk is an integral part of indiavia namo app,1
191,311,how much u get for spreading fake news  removal of  article      showed real faces of our enemies,0
192,312,slap to both neighborhoods for scrapping  article     which is temporary status given by nehru govt china  pakistan  cant win with india anymore india is ruled with strong leadership under modi with full mandate given by voter of india no ball game with india anymore,1
193,313,massive diplomatic win for pakistan on   unsc calls a conference tomorrow on indian barbarism in kashmir  unilateral abrogation of  article    for the first time in history unsc will be holding a session on kashmir  issue,1
194,314, kashmiri pandits  kashmiri muslims  lashakis  jammu residents are happy with amendment of  article   ,1
195,318,jammu kashmir live updates nc moves sc challenging presidential orders on  article                ,1
196,319,well i have just seen majorgauravarya  s defensive offense video on pak current diarrhea after  article     abrogation and major arya has also said these same things point by point line by linelooks like you are also a fan of major arya like me,1
197,321,kashmir is gaining pace day by day towards peace  prosperity but some fake news  propaganda are trying their best to create hurdle just like  article     these hurdles are also temporary u already lost in unsc by  it is better to focus on ur economic crisis  balochistan,1
198,322,indian parliament scrapping  article     — wrong  majority indians in favour of revoking    — wrong  pakistan parliament declaring ahmadis non muslims — right              majority in pakistan united against ahmadis  right hypocrisy in my country  right,0
199,325,voices from jk must be heard says manmohan singh in first remarks on  article      india news  times of india   timesofindiaindiatimescomindiavoicesf    …,1
200,327,the people hindus muslims sikhs buddhists jains christians jews have voted in overwhelming majority for bjp and the congress has voted overwhelming majority for  article     revocation this is a legal process so lets go with democracy,1
201,329,one of the top legal authorities on  article     its easy to take the more dominating narrative calling these actions undemocratic  but this order was long overdue you may argue with the way it was implemented but cant fault the result    ,1
202,331,article     was a temporary arrangement but continued till recent time no kashmiris has benefited from this act only separatists india has every right to do the justice to its territory the abrogation of    is in the interest of kashmiris well being and prosperity   twittercombabitaphogats    …,1
203,332,well sumanth ji can’t you accept j  k is peaceful after abrogation of  article       twittercomsumanthramans    …,1
204,335, independencedayindia     celebrations on oneindia one nation one constitution pm modi says on scrapping of  article    stay tuned for all the updates live     ,1
