,Unnamed: 0,Unnamed: 0.1,title,Sentiment,Noun_Word
26,26,44,can a challenge possible under  article   to amendment to  article     and abrogation of art  in sc and high court by a non affected partypress below to find  mfacebookcomstoryphpstor    …,1,"['challenge', 'article', 'amendment', 'article', 'abrogation', 'art', 'court', 'non', 'mfacebookcomstoryphpstor']"
27,27,45,u ppl comes india fr gettng famous nd we hd always welcomed u with respectnd thn u talk bullshit against us is this manner or respecti thnk u shld read  article     frst nd u wld get to knw dat u ppl were forcefully tryng to entr in our country bt u hd alwys got backfired,1,"['u', 'ppl', 'india', 'nd', 'u', 'respectnd', 'thn', 'u', 'talk', 'bullshit', 'manner', 'thnk', 'u', 'article', 'frst', 'u', 'u', 'ppl', 'country', 'bt', 'u']"
28,28,48,voices from jk must be heard says manmohan singh in first remarks on  article      years as pm and we only heard his masters voice now he wants to hear voices    timesofindiaindiatimescomindiavoicesf    …,1,"['voices', 'manmohan', 'singh', 'remarks', 'article', 'years', 'pm', 'masters', 'voice', 'voices', 'timesofindiaindiatimescomindiavoicesf']"
29,29,50,we think this is great step that our  delhi government have taken this is most needed step thank you very much for taking such great step in my view it is as needed as as abrogation of     article  we hope it will bring drastic improvement in indian education system ,1,"['step', 'delhi', 'government', 'step', 'step', 'view', 'abrogation', 'article', 'improvement', 'education', 'system']"
30,30,53,removal of special status under  article     will lead to kashmir’s allround development hm amit shah says  kashmirlooksahead  timesofindiaindiatimescomindiaremoval    …,1,"['removal', 'status', 'article', 'kashmir', 'development', 'amit', 'shah', 'timesofindiaindiatimescomindiaremoval']"
31,31,54,why were you sleeping before abolishing  article     suddenly all of you woke up to nda’s right calls you need to spend some time at correctional center support nda for one good reason and give us better future,1,"['article', 'nda', 'calls', 'time', 'center', 'support', 'nda', 'reason', 'future']"
32,32,56,propaganda machinery in full swing  you must be dearly missing mommy sonia gandhi and  article     well both aint coming back lady,1,"['propaganda', 'machinery', 'swing', 'mommy', 'gandhi', 'article', 'lady']"
33,33,57, kashmirwithmodi due to the revocation of  article     the rights and responsibilities of every citizen in the country have become equal says pm modivia namo app,0,"['kashmirwithmodi', 'revocation', 'article', 'rights', 'responsibilities', 'citizen', 'country', 'pm', 'modivia', 'namo', 'app']"
34,34,60,abrogation of  article     was similar to balakot air strike whenever this government is unable to answer economic issues they divert d attention to misguide general public why it took  years for them to do this action since  when it was in their manifesto since ,0,"['abrogation', 'article', 'balakot', 'air', 'strike', 'government', 'issues', 'attention', 'public', 'years', 'action', 'manifesto']"
35,35,61,shobhaa dewho dance to paks tune stays in bungalow worth croresbarkha duttwho support terrorists has crores of propertiescong leaderswho oppose ban of  article     have crores of assetsbutpatriots like me who chant bharat mata ki jaihappily stay in a rented house,1,"['shobhaa', 'dance', 'paks', 'tune', 'bungalow', 'croresbarkha', 'duttwho', 'support', 'terrorists', 'crores', 'propertiescong', 'leaderswho', 'ban', 'article', 'crores', 'assetsbutpatriots', 'house']"
36,36,62, ndtv  it our jammu kashmir now pls     article  in pok and baluchistan so they can live freely and independently because pakistani torture the people,1,"['ndtv', 'jammu', 'article', 'pok', 'torture', 'people']"
37,37,64, re  pakistan punched by indias  article     move dumbstruck and desperate heres what pakistan could now do  sushantsareen       ,0,"['pakistan', 'indias', 'article', 'heres', 'pakistan']"
38,38,65,pakistan rebuffed on all fronts in its effort to seek international mediationintervention in its campaign against new delhi’s move to turn  article     into a dead letter and bifurcate jk into  uts biggest setback for pak came in the form of a un  virtual rejection,0,"['pakistan', 'fronts', 'effort', 'mediationintervention', 'campaign', 'delhi', 'move', 'article', 'letter', 'uts', 'setback', 'pak', 'form', 'rejection']"
39,39,66,nothing is normal in kashmir after revoking of  article     no violence for a complete week is definitely abnormal for kashmir and liberalskashmir  ,1,"['kashmir', 'article', 'violence', 'week', 'kashmir']"
40,40,68,after india removed  article     after loss of  lakh lives since  because of radicalisation in kashmir pakistan is shouting jihad in jnk they say now they hve right to arm every kashmiri   mobilereuterscomarticleampid    …,1,"['india', 'article', 'loss', 'lakh', 'lives', 'radicalisation', 'pakistan', 'jihad', 'right', 'kashmiri']"
41,41,69,ill show you plenty of interviews of kashmiri muslims who are happy with the deactivation of  article     so what does that prove,1,"['plenty', 'interviews', 'muslims', 'deactivation', 'article']"
42,42,72,quite natural kashmiri sultanate which was carried on under a facade of democracy under  article     has ended people of jammu and ladakh have found freedom at last no need to salute the red flag of kashmiri sultanate   twittercomshaswatidasst    …,1,"['kashmiri', 'sultanate', 'facade', 'democracy', 'article', 'people', 'jammu', 'ladakh', 'freedom', 'need', 'flag', 'kashmiri', 'sultanate', 'twittercomshaswatidasst']"
43,43,73,by annulling  article     people fm the rest of india will now have the right to acquire property in occupied kashmir n settle there permanently which is aimed at to alter the demography of kashmir and conversion of the muslim majority into minority pakindependencewithkashmir,1,"['article', 'people', 'fm', 'rest', 'india', 'right', 'property', 'kashmir', 'demography', 'kashmir', 'conversion', 'majority', 'minority', 'pakindependencewithkashmir']"
44,44,74,congress is no one to decide whether removing    was unconstitutional or not it will be decided by sc so plz don’t jump to conclusion ryt away nobody is going to be fooled now because everyone has seen real face of congress removing  article     is recorrecting nehru’s blunder,1,"['congress', 'one', 'conclusion', 'ryt', 'face', 'congress', 'article', 'nehru', 'blunder']"
45,45,75,tributes to bharat ratna atalbiharivajpayee  on his  punyatithi tday bjp might enjoy majority  has successfully abrogated  article      integrated kashmir but we must neva forget that vajpayee  advani were d foundation fr a strong nationalistic bjp we are witnessing tday  ,1,"['tributes', 'ratna', 'punyatithi', 'tday', 'bjp', 'majority', 'article', 'kashmir', 'foundation', 'bjp', 'tday']"
46,46,76,decisions on  article     triple talaq within  weeks of new government narendra modi   lnkdingzjyeet  ,1,"['decisions', 'article', 'talaq', 'weeks', 'government', 'narendra', 'lnkdingzjyeet']"
47,47,77,kashmir pakistan tries to isolate india over  article     gets a reality check  news analysis news   indiatodayinnewsanalysis    …,0,"['pakistan', 'india', 'article', 'reality', 'check', 'news', 'analysis', 'news', 'indiatodayinnewsanalysis']"
48,48,78,abe chhaman in past  years no government has abolished  article     you pls leave it to competent people you concentrate on delhi election are near,1,"['abe', 'chhaman', 'years', 'government', 'article', 'people', 'delhi', 'election']"
49,49,79, should go to un with full powerful msg that either they should play their part and ask india to undo this  article     or everyone should be ready for nuclear war enough is enough already we are always tagged extremist so let finish it once for all,1,"['msg', 'part', 'india', 'article', 'war']"
50,50,80,article     abrogation is not legally right,0,"['article', 'abrogation']"
51,51,83,some of my neighbours have taken out solidarity marches and strangely few of my family family members are also in their supportnote this message is not connected to  abrogation and defanging of  article         ,0,"['neighbours', 'solidarity', 'marches', 'family', 'family', 'members', 'supportnote', 'message', 'abrogation', 'defanging', 'article']"
52,52,84,so far modi  has done away with triple talaq revoked  article     announced a cds and now rajnathsingh  is tweeting about a modification of nfu  and an ayodhya ruling is coming and uniform civil code promises to be a game changer congratulations to pm narendramodi,0,"['talaq', 'article', 'cds', 'modification', 'ruling', 'code', 'promises', 'game', 'changer', 'congratulations']"
53,53,87,congress is more panicked on abrogation of  article     than pakistan,1,"['congress', 'abrogation', 'article', 'pakistan']"
54,54,88,article     and nuclear tests two great pms two extraordinary legacies       …,1,"['article', 'tests', 'pms', 'legacies']"
55,55,89,i dont understand the pakistan states hypocrisy over protesting revoking  article     you want me to take your protest seriously after you revoked special status to gilgit baltistan and filled that area with mainland pakistanis,1,"['pakistan', 'states', 'hypocrisy', 'article', 'protest', 'status', 'baltistan', 'area', 'mainland', 'pakistanis']"
56,56,91,fake and forged i can even photoshop trump supporting removing  article      ,0,"['trump', 'article']"
57,57,92,and congress leaders speak pak line support pakistan on  article     congress leaders love pakistan and hate india eyes are useless when mind is blind,0,"['congress', 'leaders', 'pak', 'line', 'support', 'pakistan', 'article', 'congress', 'leaders', 'pakistan', 'india', 'eyes', 'mind']"
58,58,93,pacifist views abhorrence of war empathy for all besieged people constant focus on peace and imperativeness of dialogue  only when the other side is on receivingend of statesponsored terrorism from your country  article     like your establishments charade is now gone,0,"['views', 'abhorrence', 'war', 'empathy', 'people', 'focus', 'peace', 'imperativeness', 'dialogue', 'side', 'receivingend', 'terrorism', 'country', 'article', 'establishments', 'charade']"
59,59,97, taapsee  anjanaomkashyap  aajtak  akshaykumar  just heared tapasees statement on  article     and realised that how dumb and useless actresses we have only on screen doing naam shabana like character and no courage to support this historic move no knowledge of this issue,0,"['aajtak', 'akshaykumar', 'tapasees', 'statement', 'article', 'actresses', 'screen', 'naam', 'character', 'courage', 'move', 'knowledge', 'issue']"
60,60,98,rahul allies thrived on jk tense atmosphere so crying foul over scrapping  article     jitendra singh   zeenewsindiacomindiarahulal    …,0,"['rahul', 'allies', 'atmosphere', 'article', 'jitendra', 'singh']"
61,61,100,rt insafpk narendra modi  rss are acting like modern day hitler  nazis the “ethnic cleansing” of muslims in kashmir by scrapping of  article     that will further manifest as an attempt to tamper the demographics of kashmir pakistan condemns it o…   ,1,"['rss', 'day', 'hitler', 'cleansing', 'muslims', 'kashmir', 'article', 'attempt', 'demographics']"
62,62,101,pakistani people knows shit revoking useless  article     and making kashmiris people as pure indians is equivalent to freedom for those peopleindia got greater economy from now kashmiri would join and make still greaterkashmiri is safest nowthan ever,1,"['people', 'shit', 'article', 'kashmiris', 'people', 'indians', 'freedom', 'peopleindia', 'economy', 'kashmiri', 'greaterkashmiri']"
63,63,105,may be for a week or a month but at the end of it  article     is no more,0,"['week', 'month', 'end', 'article']"
64,64,106,sardar patels notable achievement on jk insertion of  article     in constitution      ,1,"['sardar', 'patels', 'achievement', 'jk', 'insertion', 'article', 'constitution']"
65,65,108,union minister jitendra singh on august  hit out at the congress for fearmongering after abrogating provisions of  article     for its own survival,1,"['union', 'minister', 'jitendra', 'singh', 'congress', 'provisions', 'article', 'survival']"
66,66,110,article     is gone long live kashmir     gonelonglivekashmir   …,1,"['article', 'gonelonglivekashmir']"
67,67,114,initial ground feedback from across india is there is overwhelming support for kashmir reorganization and abrogation of  article     including tamil nadu,1,"['ground', 'feedback', 'india', 'support', 'reorganization', 'abrogation', 'article', 'tamil', 'nadu']"
68,68,116,article     and  surely had some objectionable content however they were persistent in minor level the removal of the articles however are of no use in terms of securing human rights or calming down the       …,1,"['article', 'content', 'level', 'removal', 'articles', 'use', 'terms', 'rights']"
69,69,118,this fraud vijaysethuoffl  should feel the heat for supporting  article    is this dumb know what is  article    ,0,"['fraud', 'vijaysethuoffl', 'heat', 'article', 'article']"
70,70,120,after  article     sanghis are going to work on following in coming months one nation one election lets fool people once only population control focus on particular community,1,"['article', 'sanghis', 'months', 'nation', 'election', 'fool', 'people', 'population', 'control', 'focus', 'community']"
71,71,121,during corrupt italian congress rule in kashmir and other side child with school books leaving to school after abrogation of  article     and   ,0,"['congress', 'rule', 'kashmir', 'side', 'child', 'school', 'books', 'school', 'abrogation', 'article']"
72,72,123,that’s what happens when muslims pretend to be patriotic to the non muslim nation they immigrate to islamization and kuttagiri first and foremost this is exactly why scrapping  article     is aimed at repopulating kashmir with non muslims,1,"['muslims', 'nation', 'islamization', 'kuttagiri', 'article', 'kashmir', 'muslims']"
73,73,125,people from opposition are barging with criticism on govt that they failed to identify the issue before it could have startedlike they have mentioned various signals which could have guessed that they are about to remove  article     from their constitution,0,"['people', 'opposition', 'criticism', 'govt', 'issue', 'signals', 'article', 'constitution']"
74,74,127,dear sweety so sad that you were not even aware of others existence in j and k  so selfish are these kms me myself  allah wanted  article     to go remember allah ke bahir ek patta neigh hilta allah ki marzi hai kubool karoallah is with dalit noe  ,0,"['sweety', 'others', 'existence', 'article', 'patta', 'neigh', 'marzi', 'hai', 'karoallah']"
75,75,128,it  article     abrogation will enable the people to access and enjoy the same rights same privileges and same facilities as their fellow citizens in the rest of the country presidentkovind  said while addressing the nation on the eve of the  independenceday ,1,"['article', 'abrogation', 'people', 'rights', 'privileges', 'facilities', 'citizens', 'rest', 'country', 'presidentkovind', 'nation', 'eve', 'independenceday']"
76,76,129,the government  on august   revoked  the ‘special  status ’ granted to the state of jammu  and kashmir  under article     of the indian constitution  and also repealed   article   the government has also proposed  to split  the state into two union  territories  ,1,"['government', 'status', 'state', 'jammu', 'article', 'constitution', 'article', 'government', 'state', 'union', 'territories']"
77,77,131,its  article     you idiot and secondly kashmir is indian territory what we do within the framework of constitution is our business why do take up antisemitism with ilhanmn   rashidatlaib    twittercomhasanminhajst    …,0,"['article', 'kashmir', 'territory', 'framework', 'constitution', 'business', 'antisemitism', 'ilhanmn', 'rashidatlaib', 'twittercomhasanminhajst']"
78,78,132,within  weeks of new government formation several path breaking decisions have been taken such as removal of  article     the end of triple talaq steps for the welfare of farmers and traders pm narendramodi  independencedayindia,1,"['weeks', 'government', 'formation', 'path', 'breaking', 'decisions', 'removal', 'article', 'end', 'talaq', 'steps', 'welfare', 'farmers', 'traders', 'narendramodi', 'independencedayindia']"
79,79,133,shocked by the abrogation of  article      ,0,"['abrogation', 'article']"
80,80,134,at unsc china and pakistan fail to censure india over  article       livemintcomnewsindiaat    …,0,"['china', 'pakistan', 'india', 'article']"
81,81,136,‘if  article     was so important why was it kept temporary for  years’ pm modi’s stinging attack on congress in iday speech   financialexpresscomindianewspm    … via namo app ,1,"['article', 'years', 'pm', 'attack', 'congress', 'iday', 'speech', 'namo', 'app']"
82,82,137,please watch his other clip of the same day where he explains how  article     is an internal matter of india one clip seen in isolation isn’t good to judge,1,"['clip', 'day', 'article', 'matter', 'india', 'clip', 'isolation']"
83,83,140,modi did what nehru wanted to but couldn’t on  article      the new indian express   newindianexpresscomopinionscolum    …,1,"['nehru', 'article', 'newindianexpresscomopinionscolum']"
84,84,141, narendramodi  amazing speech mann bahut utsahit hai aaj sir it will be my honour to get the pagdi on the occassion of first independence day when my country has release from the disease of  article     salute to youno words ,1,"['narendramodi', 'speech', 'utsahit', 'aaj', 'sir', 'honour', 'pagdi', 'occassion', 'independence', 'day', 'country', 'release', 'disease', 'article', 'salute', 'youno', 'words']"
85,85,144,response from india representative to un to media related to revoking of  article           …   we the people deceived by corrupt un  nation politicians media  by war let india republic refined include iran afghan pakistan bangla e  se asia india reform unsc,0,"['response', 'india', 'representative', 'media', 'article', 'people', 'nation', 'politicians', 'media', 'war', 'india', 'republic', 'iran', 'pakistan', 'bangla', 'india', 'reform', 'unsc']"
86,86,145,article     and nuclear tests two great pms two extraordinary legacies       …    atalbiharivajpayee  indiannucleartests  via rightlogin,1,"['article', 'tests', 'pms', 'legacies', 'rightlogin']"
87,87,146,unfortunately u people only bark in social media reality is  article     abrogatedand kindly hear yr eam no country will support pakistan in kashmirthis is the check nd mate i this kashmir game nd u loose it already try to save pok god knows,0,"['people', 'media', 'reality', 'article', 'abrogatedand', 'yr', 'eam', 'country', 'pakistan', 'check', 'nd', 'game', 'nd', 'pok', 'god']"
88,88,148,mr goyal this picture wouldn’t describing soberness that you explaining after removed  article     narendramodi  amitshah  sir is this the way that you allowing your chip ministers to present their happiness related to kashmiri’s women or people action must be taken agnst him,1,"['goyal', 'picture', 'soberness', 'article', 'amitshah', 'sir', 'way', 'chip', 'ministers', 'happiness', 'kashmiri', 'women', 'people', 'action']"
89,89,149,we still believe india is grt democratic country and these  strong leaders were appointed by the people  is some least portion of indian people who were against these present govt thinks tht removing of  article     is not right n than let them think n live with it,1,"['india', 'country', 'leaders', 'people', 'portion', 'people', 'govt', 'article']"
90,90,150,what a heartbreaking sight this isthese kind of pictures make us believe more in our decision of abrogation of  article     time is right can’t allow them to play with the lives of children like this indiaforkashmir  twittercommajorgauravary    …,1,"['sight', 'kind', 'pictures', 'decision', 'abrogation', 'article', 'time', 'lives', 'children', 'twittercommajorgauravary']"
91,91,151,abrogation of  article     by modi  new india govt will truly usher a new era of social justice both in ladakh region  jammukashmir and there will certainly be a new dawn of development with many big cos willing to invest there to meet all aspirations of indian youth now   twittercomrammadhavbjps    …,1,"['abrogation', 'article', 'india', 'govt', 'era', 'justice', 'ladakh', 'region', 'jammukashmir', 'dawn', 'development', 'cos', 'aspirations', 'youth']"
92,92,152, it was important to make it more transparent coz of  article     the likes of mehboba mufti  farooq abdullah were eating kashmirs money in fact if u see their records india has spent more tax payers money over  in kashmir all these years compare to assam   yet assam,1,"['coz', 'article', 'likes', 'mufti', 'money', 'fact', 'u', 'records', 'india', 'tax', 'payers', 'money', 'kashmir', 'years', 'assam', 'assam']"
93,93,156,because mahabooba married to a pakistani her daughters are pakistani but as per  article     if a kashmiri women married to a pakistani than pakistani husband get kashmiri citizenship so now daughters are indian and take e very benefit from india and work at very sensitive place,1,"['mahabooba', 'pakistani', 'daughters', 'article', 'women', 'pakistani', 'husband', 'citizenship', 'daughters', 'benefit', 'india', 'work', 'place']"
94,94,158,article     jammu will be  most vulnerable now it will need special security says former raw chief as dulat   nationalheraldindiacomnationalartic    …,1,"['article', 'jammu', 'security', 'chief', 'dulat']"
95,95,161,shah used his adminstrative experience and predicting that humen jk people cannt live with out  basic need of human is not food shelter and good governace but  article     he firmly believe that absence of  will urge the hunger of violence in human well said,1,"['shah', 'experience', 'humen', 'people', 'need', 'human', 'food', 'shelter', 'governace', 'article', 'absence', 'hunger', 'violence']"
96,96,163, kashmirwithmodi the abolition of  article     will herald a new dawn for the people of jammu  kashmir this will open new avenues of employment economic prosperity  freedom for the people of the state,1,"['abolition', 'article', 'dawn', 'people', 'jammu', 'kashmir', 'avenues', 'employment', 'prosperity', 'freedom', 'people', 'state']"
97,97,165,imagine such hypocrites becoming a pm they’d scrap  article     before an election and might bring it back after the election again,1,"['hypocrites', 'pm', 'scrap', 'article', 'election', 'election']"
98,98,166,the first is the reaction of the already deeply alienated kashmiri youth modi correctly anticipated that abolishing  article     would make them erupt in even greater paroxysms of anger than did the death of burhan wani in     thewireinpoliticskashm irspecialstatusrevocationfinalbetrayal   …,1,"['reaction', 'kashmiri', 'youth', 'article', 'paroxysms', 'anger', 'death', 'thewireinpoliticskashm', 'irspecialstatusrevocationfinalbetrayal']"
99,99,168,article     never prevented anybody to invest in jammu and kashmir these are half baked which are peddled on daily basis,0,"['article', 'jammu', 'kashmir', 'basis']"
100,100,169,doesnt  support for  article     in both houses of parliament matter sad we have people like you who provide fodder to pakistan for its anti india campaign,0,"['support', 'article', 'houses', 'parliament', 'matter', 'people', 'fodder', 'pakistan', 'india', 'campaign']"
101,101,173,just to remind u ur  role model kejriwal has supported abrogation of  article    how abt a quick trip to pak and celebrate eid with ur  role model imrand,1,"['role', 'model', 'kejriwal', 'abrogation', 'article', 'trip', 'eid', 'role', 'model', 'imrand']"
102,102,174,for you infoun  has called special meeting on iok on friday after this controversial territory was tried to swallow through  article           …,1,"['meeting', 'iok', 'friday', 'territory', 'article']"
103,103,175,bbc news showing glimpse on jk and ladakh and bbc trying to expand wrong news because no video showing any banner or poster against    and  which prove video is taken before the removal of  article     and  and manipulated,0,"['bbc', 'news', 'glimpse', 'ladakh', 'news', 'video', 'banner', 'poster', 'video', 'removal', 'article']"
104,104,176,go ahead and see the latest video of sekhar gupta on the  article     being abrogated you will understand the veracity of the issue,1,"['video', 'gupta', 'article', 'veracity', 'issue']"
105,105,177,pm’s gift to the youth of jk abrogation of  article     has opened up possibilities of increase in employment and economic growth  anirbanganguly        ,1,"['gift', 'youth', 'abrogation', 'article', 'possibilities', 'increase', 'employment', 'growth']"
106,106,179,will there be an  article     in its place first it was a pity that chidambaram was once the union home minister,1,"['article', 'place', 'pity', 'union', 'home', 'minister']"
107,107,180,you are right sir jk was muslim majority that why bjp removed  article    oh thats why nehru given the gift of    only muslim majority stateif this  article  was so good why hindu majority state was not benefited by this  article muslim impeechment was started by nehru,1,"['sir', 'majority', 'bjp', 'article', 'nehru', 'gift', 'majority', 'stateif', 'article', 'hindu', 'majority', 'state', 'article', 'impeechment', 'nehru']"
108,108,181,abe chutiye its  article     atleast try to know the fact first btw do you even know kashmir  just because you are muslim does not make you an automatic sympathizer check your facts first,1,"['abe', 'article', 'fact', 'sympathizer', 'facts']"
109,109,182,after abrogation of  article     i consider this as true independence our country has got after   yearsthanks to union governmentprime minister narendra modiji and amit shahji⁦pmoindia ⁩ ⁦narendramodi ⁩ ⁦ ⁩ ⁦ ⁩ ⁦amitshah ⁩ pictwittercomgfsmqqejhu,1,"['abrogation', 'article', 'independence', 'country', 'yearsthanks', 'governmentprime', 'minister', 'narendra', 'modiji', 'pictwittercomgfsmqqejhu']"
110,110,183,contdindian leftist trash is more antiindia in narrative than the original paki channels sometimes headlines on indian leftist trash portals are so antiindia that pakistani dawn looks like a very balanced paper for indians to read example  article      related news,1,"['trash', 'antiindia', 'narrative', 'channels', 'trash', 'portals', 'dawn', 'paper', 'indians', 'example', 'article', 'news']"
111,111,185,many say  article     never benefited them and neither will the removal change anything however they don’t want to say this on camera there are few voices who feel things will be better but again don’t want to say this on camera or be quoted,1,"['article', 'removal', 'camera', 'voices', 'things', 'camera']"
112,112,188, rt    as a legislator i firmly believe  article     shouldve been removed long ago as a home minister there was no confusion in my mind about the consequences of removing it im confident terrorism in kashmir will finish  itll move ahead …  ,1,"['legislator', 'article', 'home', 'minister', 'confusion', 'mind', 'consequences', 'terrorism', 'kashmir']"
113,113,189,kashmir not happy with abrogation of  article     as media and govt claim     ,0,"['abrogation', 'article', 'media', 'govt']"
114,114,190,there is no direct connection between the marital choices of kashmiri women and  article     but of course men who regard women as property will see this nonexistent link,0,"['connection', 'choices', 'women', 'article', 'course', 'men', 'women', 'property', 'link']"
115,115,191,is this viral video of kashmiris protesting against revocation of  article     real         …,1,"['video', 'kashmiris', 'revocation', 'article']"
116,116,192, jmscindia  sir i am proud of you your stand on  article     is appreciated by people of india you have guts happy independence day,1,"['jmscindia', 'sir', 'stand', 'article', 'people', 'india', 'guts', 'independence', 'day']"
