Country/Territory,Title,Type,Link,URL,Digital Innovations,Data Infrastructure,Business Development Services,Enabling Environment for Digitalisation
australia,Australia Tech Future,Part of National ICT/Digital Document,AUSTRALIA’S TECH FUTURE (industry.gov.au),https://www.industry.gov.au/sites/default/files/2018-12/australias-tech-future.pdf,,,,
australia,Cyber Security Policy,Part of National ICT/Digital Document,2020 Cyber Security Strategy (homeaffairs.gov.au),https://www.homeaffairs.gov.au/about-us/our-portfolios/cyber-security/strategy/australia%E2%80%99s-cyber-security-strategy-2020,,,,
australia,Digital Economy Strategy 2021,Part of National ICT/Digital Document,Digital Economy Strategy (pmc.gov.au),https://digitaleconomy.pmc.gov.au/sites/default/files/2021-05/digital-economy-strategy.pdf,,,,
australia,Delivering Ag 2030,Part of Existing Sector Document (Agriculture/Fisheries),https://www.awe.gov.au/agriculture-land/farm-food-drought/ag2030,https://www.awe.gov.au/agriculture-land/farm-food-drought/ag2030,,,,
australia,Digital Agriculture Strategy Victoria,Standalone,https://agriculture.vic.gov.au/__data/assets/pdf_file/0006/567051/Digital-agriculture-strategy-2018.pdf,https://agriculture.vic.gov.au/__data/assets/pdf_file/0006/567051/Digital-agriculture-strategy-2018.pdf,,,,
australia,Farm Data Code 2020 Edition 1,Standalone,Farm_Data_Code_Edition_1_WEB_FINAL.pdf (nff.org.au),https://nff.org.au/wp-content/uploads/2020/02/Farm_Data_Code_Edition_1_WEB_FINAL.pdf,,,,
bahamas,Payments Instruments (Oversight) Regulations 2017 & Payments Systems Act 2012,Part of National ICT/Digital Document,https://www.centralbankbahamas.com/viewPDF/documents/2020-12-10-21-15-37-2019-06-19-04-04-54-Payment-Instruments-Oversight-Regulations-2017.pdf,https://www.centralbankbahamas.com/viewPDF/documents/2020-12-10-21-15-37-2019-06-19-04-04-54-Payment-Instruments-Oversight-Regulations-2017.pdf,,,,
bahamas,Electronic Communications and Transaction Act,Part of National ICT/Digital Document,Electronic Communications and Transactions Act (bahamas.gov.bs),http://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/2003/2003-0004/ElectronicCommunicationsandTransactionsAct_1.pdf,,,,
bahamas,Computer Misuse Act,Part of National ICT/Digital Document,Computer Misuse Act (bahamas.gov.bs),http://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/2003/2003-0002/ComputerMisuseAct_1.pdf,,,,
bahamas,Data Protection Act,Part of National ICT/Digital Document,Bahamas Data Protection Act: What you need to know. » ParrisWhittaker,https://parriswhittaker.com/bahamas-data-protection-act-what-you-need-to-know/,,,,
bahamas,Connect Your E-Business Strategy To The Bahamas - Bridging The Digital Divide,Part of National ICT/Digital Document,Bahamas E_Guide (d3n8a8pro7vhmx.cloudfront.net),https://d3n8a8pro7vhmx.cloudfront.net/itsnojoke/pages/94/attachments/original/1492607359/e-business_guide.pdf?1492607359,,,,
bahamas,2017 National Food and Nutrition Security Policy and Agenda for Action,Part of Existing Sector Document (Agriculture/Fisheries),https://extranet.who.int/nutrition/gina/sites/default/filesstore/BHS 2017 FNS policy_0.pdf,#VALUE!,,,,
bahamas,Five Year Sector Strategy Pan for Fisheries and Aquaculture (2010-2014) d,Part of Existing Sector Document (Agriculture/Fisheries),"Five Year
Sector Strategy Pan for Fisheries and Aquaculture (2010-2014",http://extwprlegs1.fao.org/docs/pdf/bha176952.pdf,,,,
bahamas,"The Bahamas National Pathway for Food Systems
Transformation in support of The 2030 Agenda",Part of Existing Sector Document (Agriculture/Fisheries),Bahamas National Pathway - UNFSSD (summitdialogues.org),https://summitdialogues.org/wp-content/uploads/2021/09/Bahamas-National-Pathway-UNFSSD-2.pdf,,,,
bangladesh,"Country Investment Plan - A road map towards investment in agriculture, food security and nutrition.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd163029.pdf,http://faolex.fao.org/docs/pdf/bgd163029.pdf,,,,
bangladesh,National Fisheries Policy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd149571.pdf,http://faolex.fao.org/docs/pdf/bgd149571.pdf,,,,
bangladesh,Medium Term Strategy and Business Plan of the Ministry of Agriculture.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd150741.pdf,http://faolex.fao.org/docs/pdf/bgd150741.pdf,,,,
bangladesh,National Aquaculture Development Strategy and Action Plan of Bangladesh 2013-2020.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd169471.pdf,http://faolex.fao.org/docs/pdf/bgd169471.pdf,,,,
bangladesh,"Inland Capture Fisheries Sub-Strategy, 2006.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd184948.pdf,http://faolex.fao.org/docs/pdf/bgd184948.pdf,,,,
bangladesh,National Livestock Extension Policy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd190190.pdf,http://faolex.fao.org/docs/pdf/bgd190190.pdf,,,,
bangladesh,Bangladesh Strategic Plan on Agricultural and Rural Statistics (2016-2030).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd191140.pdf,http://faolex.fao.org/docs/pdf/bgd191140.pdf,,,,
bangladesh,"Aquaculture Sub-strategy, 2006.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd184881.pdf,http://faolex.fao.org/docs/pdf/bgd184881.pdf,,,,
bangladesh,Digital Bangladesh: Bangladesh's Vision 2021,Part of National ICT/Digital Document,https://a2i.gov.bd/wp-content/uploads/2017/11/4-Strategy_Digital_Bangladesh_2011.pdf,https://a2i.gov.bd/wp-content/uploads/2017/11/4-Strategy_Digital_Bangladesh_2011.pdf,,,,
bangladesh,E Government Master plan for Bangladesh,Part of National ICT/Digital Document,https://bcc.portal.gov.bd/sites/default/files/files/bcc.portal.gov.bd/page/ecbb5603_1eac_4bf0_99fe_628e9980c279/e-Government Masterplan for Digital Bangladesh_V6.0 (2).pdf,https://bcc.portal.gov.bd/sites/default/files/files/bcc.portal.gov.bd/page/ecbb5603_1eac_4bf0_99fe_628e9980c279/e-Government Masterplan for Digital Bangladesh_V6.0 (2).pdf,,,,
bangladesh,E Commerce Policy Framework for Bangladesh,Part of National ICT/Digital Document,E Commerce Policy Framework for Bangladesh | The Commonwealth Connectivity Agenda Repository of Digital Policies and Regulations,https://tradecca.thecommonwealth.org/document/e-commerce-policy-framework-for-bangladesh,,,,
bangladesh,Digital Security Act,Part of National ICT/Digital Document,Microsoft Word - 3614-Notification (cirt.gov.bd),https://www.cirt.gov.bd/wp-content/uploads/2020/02/Digital-Security-Act-2020.pdf,,,,
bangladesh,National ICT Policy Bangledesh,Part of National ICT/Digital Document,Bangladesh Government Policy,https://policy.gov.bd/policy/ict-division?lang=en,,,,
barbados,"National Policy Framework for the Development of Micro, Small and Medium-Sized Enterprises.",Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/bar183755.pdf,http://faolex.fao.org/docs/pdf/bar183755.pdf,,,,
barbados,Electronic Transactions Act,Part of National ICT/Digital Document,Cap308B (oas.org),http://ctrc.sice.oas.org/investment/NatLeg/Bar/Elect_act.pdf,,,,
barbados,Data Protection Act,Part of National ICT/Digital Document,"Data Protection Act, 2019 | GIS (gisbarbados.gov.bb)",https://gisbarbados.gov.bb/download/data-protection-act-2019/,,,,
barbados,National Agriculture Policy 2013,Part of Existing Sector Document (Agriculture/Fisheries),http://www.sice.oas.org/SME_CH/BRB/Policy_Paper_Agriculture_2013_e.pdf,http://www.sice.oas.org/SME_CH/BRB/Policy_Paper_Agriculture_2013_e.pdf,,,,
barbados,Telecommunications Act,Part of National ICT/Digital Document,Telecommunications Act (oas.org),http://www.sice.oas.org/compol/natleg/Barbados/telecommunications_act_cap282b.pdf,,,,
belize,National Agriculture and Food Policy of Belize 2015 - 2030.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/blz203926.pdf,http://faolex.fao.org/docs/pdf/blz203926.pdf,,,,
belize,ICT National Strategy,Part of National ICT/Digital Document,Beliz2011.pdf (lincompany.kz),http://lincompany.kz/pdf/Africa/Beliz2011.pdf,,,,
belize,National E-Government Policy 2015-2018,Part of National ICT/Digital Document,https://cito.gov.bz/wp-content/uploads/2020/11/BelizeNatleGovPolicy2015.pdf,https://cito.gov.bz/wp-content/uploads/2020/11/BelizeNatleGovPolicy2015.pdf,,,,
belize,Electronic Transactions Act,Part of National ICT/Digital Document,Electronic Transactions Act (centralbank.org.bz),https://www.centralbank.org.bz/docs/default-source/2.10-national-payment-system-act/cap-229-03-electronic-transactions-act.pdf?sfvrsn=2,,,,
belize,National Digital Agenda 2021:“Towards a Digital Belize’,Part of National ICT/Digital Document,,#VALUE!,,,,
belize,"Belize National Fisheries Policy, Strategy and Action Plan 2019 .",Part of Existing Sector Document (Agriculture/Fisheries),,#VALUE!,,,,
belize,Belize Open Government Action Plan,Part of National ICT/Digital Document,Open_Government_Belize_National_Action_Plan.pdf (thetrustfortheamericas.org),https://www.thetrustfortheamericas.org/media/events/attachments/Open_Government_Belize_National_Action_Plan.pdf,,,,
botswana,Cybercrime and Computer Related Crimes Act,Part of National ICT/Digital Document,Cybercrime and computer related Crimes Act 2018 | Botswana Communications Regulatory Authority (bocra.org.bw),https://www.bocra.org.bw/cybercrime-and-computer-related-crimes-act-2018,,,,
botswana,National Broadband Strategy,Part of National ICT/Digital Document,National Broadband Strategy | Botswana Communications Regulatory Authority (bocra.org.bw),https://www.bocra.org.bw/national-broadband-strategy,,,,
botswana,Electronic Communications and Transactions Act,Part of National ICT/Digital Document,Electronic Communications and Transactions Act 2014 | Botswana Communications Regulatory Authority (bocra.org.bw),https://www.bocra.org.bw/electronic-communications-and-transactions-act-2014,,,,
botswana,Data Protection Act,Part of National ICT/Digital Document,https://www.bocra.org.bw/sites/default/files/documents/DataProtectionAct.pdf,https://www.bocra.org.bw/sites/default/files/documents/DataProtectionAct.pdf,,,,
brunei darussalam,Data Protection Policy,Part of National ICT/Digital Document,Data Protection Policy.pdf (egnc.gov.bn),http://egnc.gov.bn/Shared Documents/EGNC Policies/Data Protection Policy.pdf,,,,
brunei darussalam,Computer Misuse Act,Part of National ICT/Digital Document,Computer Misuse.fm (agc.gov.bn),https://www.agc.gov.bn/AGC Images/LOB/PDF/Computer Misuse.pdf,,,,
brunei darussalam,Electronic Transactions Act,Part of National ICT/Digital Document,https://www.agc.gov.bn/AGC Images/LOB/PDF/Electronic Transactions (chp.196).pdf,https://www.agc.gov.bn/AGC Images/LOB/PDF/Electronic Transactions (chp.196).pdf,,,,
brunei darussalam,Digital Government Strategy 2015-2020,Part of National ICT/Digital Document,Digital Government Strategy (digitalstrategy.gov.bn),http://www.digitalstrategy.gov.bn/Themed/index.aspx,,,,
brunei darussalam,Digital Payment Roadmap for Brunei Darussalam 2019-2025 (the Roadmap),Part of National ICT/Digital Document,Brunei Darussalam: Digital Payment Roadmap 2019–2025 - IslamicMarkets.com,https://islamicmarkets.com/publications/brunei-darussalam-digital-payment-roadmap-2019-2025,,,,
brunei darussalam,Digital Economy Masterplan 2025,Part of National ICT/Digital Document,Digital Economy 2025 Masterplan | Brunei's No.1 News Website (brudirect.com),https://www.brudirect.com/news.php?id=94722,,,,
cameroon,Law No. 2010/012 on Cybersecurity and Cybercrime,Part of National ICT/Digital Document,https://fakoamerica.typepad.com/files/law_relating_to_cybersecurity_and_cybercriminality-1.pdf,https://fakoamerica.typepad.com/files/law_relating_to_cybersecurity_and_cybercriminality-1.pdf,,,,
cameroon,Law No. 2010/013 Governing Electronic Communications,Part of National ICT/Digital Document,Law No. 2010/013 of 21 December 2010 governing electronic communications in Cameroon (minpostel.gov.cm),https://www.minpostel.gov.cm/index.php/en/les-textes/telecoms-tic/lois-telecoms-tic/229-law-no-2010-013-of-21-december-2010-governing-electronic-communications-in-cameroon,,,,
cameroon,CAMEROON' NEW AGRICULTURE POLICY,Part of Existing Sector Document (Agriculture/Fisheries),,#VALUE!,,,,
canada,National Cyber Security Strategy,Part of National ICT/Digital Document,National Cyber Security Strategy: Canada's Vision for Security and Prosperity in the Digital Age (publicsafety.gc.ca),https://www.publicsafety.gc.ca/cnt/rsrcs/pblctns/ntnl-cbr-scrt-strtg/index-en.aspx,,,,
canada,Personal Information and Electronic Documents Act,Part of National ICT/Digital Document,Personal Information Protection and Electronic Documents Act (justice.gc.ca),https://laws-lois.justice.gc.ca/ENG/ACTS/P-8.6/FullText.html,,,,
canada,Pan Canadian Artificial Intelligence Strategy,Part of National ICT/Digital Document,Pan-Canadian AI Strategy - CIFAR,https://cifar.ca/ai/,,,,
canada,Digital Canada 150,Part of National ICT/Digital Document,Digital Canada 150 - [PDF Document] (vdocument.in),https://vdocument.in/digital-canada-150.html,,,,
cyprus,Cybersecurity Strategy of the Republic of Cyprus,Part of National ICT/Digital Document,?????????? ???????????????? ??? ????????? ??????????? (europa.eu),https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/CybersecurityStrategyoftheRepublicofCyprusv10_English.pdf,,,,
cyprus,Digital Strategy for Cyprus,Part of National ICT/Digital Document,04Digital Strategy for Cyprus_Executive summary.pdf (dmrid.gov.cy),https://dec.dmrid.gov.cy/dmrid/dec/ws_dec.nsf/68E7913001B3FC41C2258570003FE06E/$file/04Digital Strategy for Cyprus_Executive summary.pdf,,,,
cyprus,Digital Cyprus 2025,Part of National ICT/Digital Document,https://www.dmrid.gov.cy/dmrid/research.nsf/all/927EA351714F99EDC22587CE0028C090/$file/Digital%20Strategy%202020-2025.pdf?openelement,https://www.dmrid.gov.cy/dmrid/research.nsf/all/927EA351714F99EDC22587CE0028C090/$file/Digital Strategy 2020-2025.pdf?openelement,,,,
cyprus,Innovate Cyprus - CYRI - Strategy,Part of National ICT/Digital Document,Innovate-Cyprus-CYRI-Strategy-Framework-2019-2023-NBRI-May-2019.pdf (dmrid.gov.cy),https://www.dmrid.gov.cy/dmrid/research.nsf/all/927EA351714F99EDC22587CE0028C090/$file/Innovate-Cyprus-CYRI-Strategy-Framework-2019-2023-NBRI-May-2019.pdf?openelement,,,,
dominica,Information Technology Strategic Plan,Part of National ICT/Digital Document,https://unstats.un.org/unsd/dnss/docViewer.aspx?docID=2241,https://unstats.un.org/unsd/dnss/docViewer.aspx?docID=2241,,,,
dominica,Electronic Evidence Act,Part of National ICT/Digital Document,Untitled-2 (oas.org),http://cicad.oas.org/fortalecimiento_institucional/legislations/PDF/DM/electronic_evidence_act.pdf,,,,
fiji,Draft Self Regulating Guideline: E-Commerce Business in Fiji,Part of National ICT/Digital Document,E-Commerce-SRG-draft-and-Ammended-copy.pdf (fccc.gov.fj),https://fccc.gov.fj/wp-content/uploads/2017/08/E-Commerce-SRG-draft-and-Ammended-copy.pdf,,,,
fiji,digitalFiji,Part of National ICT/Digital Document,,#VALUE!,,,,
fiji,Agriculture Sector Policy,Part of Existing Sector Document (Agriculture/Fisheries),https://www.agriculture.gov.fj/documents/fiji-2020-agriculture-sector-policy-agenda.pdf,https://www.agriculture.gov.fj/documents/fiji-2020-agriculture-sector-policy-agenda.pdf,,,,
fiji,National Fisheries Policy,Part of Existing Sector Document (Agriculture/Fisheries),http://www.fisheries.gov.fj/images/National_Fisheries_Policy_draft_June_2020.pdf,http://www.fisheries.gov.fj/images/National_Fisheries_Policy_draft_June_2020.pdf,,,,
eswatini,National Information and Infrastructure and Communication Policy (Implementation Plan 2012-2016),Part of National ICT/Digital Document,National Information and Communication Infrastructure Policy (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/Swaziland.pdf,,,,
eswatini,Draft Computer and Cyber Crime Bill,Part of National ICT/Digital Document,https://tradecca.thecommonwealth.org/document/draft-computer-and-cyber-crime-bill,https://tradecca.thecommonwealth.org/document/draft-computer-and-cyber-crime-bill,,,,
eswatini,E-Government Strategy for Swaziland 2013-2017,Part of National ICT/Digital Document,E-Government Strategy for Swaziland 2013-2017 | The Commonwealth Connectivity Agenda Repository of Digital Policies and Regulations,https://tradecca.thecommonwealth.org/document/e-government-strategy-for-swaziland-2013-2017,,,,
eswatini,Ministry of Agriculture Strategic Plan,Part of Existing Sector Document (Agriculture/Fisheries),ministry of agriculture strategic plan (2018- 2023) (dairyboard.co.sz),http://www.dairyboard.co.sz/images/MOA STRATEGIC PLAN_WP_2020.pdf,,,,
eswatini,Strategic Plan for Agriculture and Rural Statistics (2019-2023),Part of Existing Sector Document (Agriculture/Fisheries),https://www.afdb.org/en/documents/lesotho-strategic-plan-agriculture-rural-statistics-2019/20-2023/24,https://www.afdb.org/en/documents/lesotho-strategic-plan-agriculture-rural-statistics-2019/20-2023/24,,,,
gambia,Trade Policy 2018-2022,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/gam201713.pdf,http://faolex.fao.org/docs/pdf/gam201713.pdf,,,,
gambia,Fisheries and Aquaculture Policy of The Gambi,Part of Existing Sector Document (Agriculture/Fisheries),https://www.mofwr.gm/downloads-file/c165ec84-c1ad-11e9-b2ca-02e599c15748,https://www.mofwr.gm/downloads-file/c165ec84-c1ad-11e9-b2ca-02e599c15748,,,,
gambia,E-Government Strategy 2021-2024,Part of National ICT/Digital Document,"E-Government
Strategy 2021-2024",https://moici.gov.gm/sites/default/files/2021-05/E-GOVERNMENT STRATEGY.pdf,,,,
gambia,Information and Communications Act 2009,Part of National ICT/Digital Document,https://wipolex.wipo.int/en/text/238414,https://wipolex.wipo.int/en/text/238414,,,,
gambia,ICT for Accelerated Development (ICT4D) Policy 2018-2028,Part of National ICT/Digital Document,"ICT
for Accelerated Development (ICT4D) Policy 2018-2028",https://moc.gov.gh/sites/default/files/downloads/Ghana-ICTAD Policy-Master-final-2.pdf,,,,
gambia,Agriculture and Natural Resources (ANR) Policy (2009 -2015),Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gam170352.pdf,http://faolex.fao.org/docs/pdf/gam170352.pdf,,,,
ghana,Food and Agriculture Sector Development Policy (FASDEP II).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gha144957.pdf,http://faolex.fao.org/docs/pdf/gha144957.pdf,,,,
ghana,Gender and Agriculture Development Strategy II (GADS II).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gha191457.pdf,http://faolex.fao.org/docs/pdf/gha191457.pdf,,,,
ghana,Coordinated Programme of Economic and Social Development Policies (2017-2024).,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/gha174137.pdf,http://faolex.fao.org/docs/pdf/gha174137.pdf,,,,
ghana,Investing For Food And Jobs (IFJ): An Agenda For Transforming Ghanas Agriculture (2018-2021).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gha204631.pdf,http://faolex.fao.org/docs/pdf/gha204631.pdf,,,,
ghana,National Cyber Security Policy and Strategy,Part of National ICT/Digital Document,Microsoft Word - National Cyber Security Policy & Strategy Revised_23_07_15 (itu.int),https://www.itu.int/en/ITU-D/Cybersecurity/Documents/Country_Profiles/National-Cyber-Security-Policy-Strategy-Revised_23_07_15.pdf,,,,
ghana,Data Protection Act,Part of National ICT/Digital Document,The Data Protection Act 2012,https://dataprotection.org.gh/data-protection/data-protection-acts-2012,,,,
ghana,2015 Fisheries Management Plan of Ghan,Part of Existing Sector Document (Agriculture/Fisheries),https://mofad.gov.gh/wp-content/uploads/2016/07/FISHERIES-MANAGEMENT-PLAN-OF-GHANA.pdf,https://mofad.gov.gh/wp-content/uploads/2016/07/FISHERIES-MANAGEMENT-PLAN-OF-GHANA.pdf,,,,
ghana,Electronic Transactions Act,Part of National ICT/Digital Document,"Microsoft Word - ELECTRONIC TRANSACTIONS ACT, 2008 (ACT 772).docx (bcp.gov.gh)","https://bcp.gov.gh/acc/registry/docs/ELECTRONIC TRANSACTIONS ACT, 2008 (ACT 772).pdf",,,,
grenada,Information and Communication Technology (ICT): A Strategy and Action Plan for Grenada,Part of National ICT/Digital Document,ICT Strategy and Action Plan 2001/2005 - Grenada (oas.org),http://ctrc.sice.oas.org/TRC/Articles/Grenada/ITC.pdf,,,,
grenada,Electronic Transactions Act,Part of National ICT/Digital Document,http://www.gov.gd/sites/hop/files/Acts-SROs/2013/Act%20No.%2021%20of%202013%20Electronic%20Transactions.pdf,http://www.gov.gd/sites/hop/files/Acts-SROs/2013/Act No. 21 of 2013 Electronic Transactions.pdf,,,,
grenada,Grenada National Agriculture Plan,Part of Existing Sector Document (Agriculture/Fisheries),https://climatefinance.gov.gd/embedded-pdf/grenada-national-agriculture-plan-2015/,https://climatefinance.gov.gd/embedded-pdf/grenada-national-agriculture-plan-2015/,,,,
grenada,Electronic Crimes Bill,Part of National ICT/Digital Document,Act 23 of 2013 Electronic Crimes Bill.indd (grenadaparliament.gd),https://grenadaparliament.gd/wp-content/uploads/2021/08/Act-No.-23-of-2013-Electronic-Crimes-Act.pdf,,,,
guyana,National Strategy for Agriculture in Guyana 2013-2020.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/guy165953.pdf,http://faolex.fao.org/docs/pdf/guy165953.pdf,,,,
guyana,E Guyana 2011,Part of National ICT/Digital Document,,#VALUE!,,,,
guyana,ICT4D Guyana National Strategy,Part of National ICT/Digital Document,ICT4D Guyana National Strategy - Final Draft (ndma.gov.gy),https://ndma.gov.gy/wp-content/uploads/2018/05/ict4d-guyana.pdf,,,,
guyana,Cybercrime Bill,Part of National ICT/Digital Document,cyber-crime-act-2018 | Parliament of Guyana,https://parliament.gov.gy/publications/acts-of-parliament/cyber-crime-act-2018,,,,
guyana,Electronic Communications and Transactions Bill,Part of National ICT/Digital Document,https://www.business.gov.gy/wp-content/uploads/2020/10/LDC-Electronic-Communications-and-Transactions-Bill-2019.pdf,https://www.business.gov.gy/wp-content/uploads/2020/10/LDC-Electronic-Communications-and-Transactions-Bill-2019.pdf,,,,
guyana,Draft E-Commerce Bill,Part of National ICT/Digital Document,,#VALUE!,,,,
india,Tamil Nadu Biotechnology Policy 2014.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ind194101.pdf,http://faolex.fao.org/docs/pdf/ind194101.pdf,,,,
india,National Policy on Marine Fisheries 2017.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ind177473.pdf,http://faolex.fao.org/docs/pdf/ind177473.pdf,,,,
india,National Digital Communications Policy,Part of National ICT/Digital Document,Draft-NDCP-2018.pdf (mygov.in),https://innovate.mygov.in/wp-content/uploads/2018/05/Draft-NDCP-2018.pdf,,,,
india,India’s National Agriculture Policy Vision 2020,Part of Existing Sector Document (Agriculture/Fisheries),"http://www.indiagri.in/admin/uploadpdf/991840Agrculture_Policy,_Vision_2020.pdf","http://www.indiagri.in/admin/uploadpdf/991840Agrculture_Policy,_Vision_2020.pdf",,,,
india,National Cyber Security Policy,Part of National ICT/Digital Document,National Cyber Security Policy (1).pdf (meity.gov.in),https://www.meity.gov.in/sites/upload_files/dit/files/National Cyber Security Policy %281%29.pdf,,,,
india,National Policy on Information Technology,Part of National ICT/Digital Document,https://www.meity.gov.in/writereaddata/files/National_20IT_20Policyt%20_20.pdf,https://www.meity.gov.in/writereaddata/files/National_20IT_20Policyt _20.pdf,,,,
india,India Personal Data Protection Bill,Part of National ICT/Digital Document,"Personal_Data_Protection_Bill,2018.pdf (meity.gov.in)","https://www.meity.gov.in/writereaddata/files/Personal_Data_Protection_Bill,2018.pdf",,,,
india,National Optical Fibre Network Project,Part of National ICT/Digital Document,,#VALUE!,,,,
india,National Strategy for Artificial Intelligence,Part of National ICT/Digital Document,"https://www.niti.gov.in/sites/default/files/2021-02/Responsible-AI-22022021.pdf#:~:text=In India%2C the National Strategy on Artificial Intelligence,economic returns that are brought by this technology.",https://www.niti.gov.in/sites/default/files/2021-02/Responsible-AI-22022021.pdf,,,,
india,National Inland Fisheries and Aquaculture Policy,Part of Existing Sector Document (Agriculture/Fisheries),Draft National Inland Fisheries & Aquaculture Policy (NIFAP).pdf (nfdb.gov.in),https://nfdb.gov.in/PDF/Draft National Inland Fisheries & Aquaculture Policy (NIFAP).pdf,,,,
india,National Fisheries Policy 2020,Part of Existing Sector Document (Agriculture/Fisheries),National_Fisheries_Policy_2020.pdf (nfdb.gov.in),https://nfdb.gov.in/PDF/National_Fisheries_Policy_2020.pdf,,,,
jamaica,Ministry of Agriculture and Fisheries Business Plan.,Part of Existing Sector Document (Agriculture/Fisheries),https://www.moa.gov.jm/sites/default/files/pdfs/MoAF_Strategic_Business%20Plan_2025.pdf,https://www.moa.gov.jm/sites/default/files/pdfs/MoAF_Strategic_Business Plan_2025.pdf,,,,
