,Country/Territory,Title,Type,Link,URL,PDF_Name,digital innovation,data infrastructure,business development,enabling environment,Data is defined,Definition of data
12,bangladesh,National Fisheries Policy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd149571.pdf,http://faolex.fao.org/docs/pdf/bgd149571.pdf,12.pdf,,,,,,
13,bangladesh,Medium Term Strategy and Business Plan of the Ministry of Agriculture.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd150741.pdf,http://faolex.fao.org/docs/pdf/bgd150741.pdf,13.pdf,,,"centre; c. united states department of agriculture. medium term strategy and business plan table 2.2 and 2.3 presents selected indices for agriculture in bangladesh compared to those in the member countries of the south asian association for regional cooperation (saarc)4 and some other developing economies in asia (viz. cambodia, china,","for development and growth of agro- based industries ngos (low to medium) spreading of awareness, implanting some projo ects fictitious ngos, spreading misinformation aw a areness generation, social audit financial resources and creating enabling-environment bank and other financial institutions (medium to high) providing agriculture credits high lending rates, non-disbursement of",,
14,bangladesh,National Aquaculture Development Strategy and Action Plan of Bangladesh 2013-2020.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd169471.pdf,http://faolex.fao.org/docs/pdf/bgd169471.pdf,14.pdf,,,,"and develop the capability to effectively manage the sector, provide the support services needed for sustainable and responsible development, and help facilitate an equitable and fair allocation of resources and distribution of benefits. the four objectives are interlinked in this manner: • social: social stability and equity are requisites for",,
15,bangladesh,"Inland Capture Fisheries Sub-Strategy, 2006.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd184948.pdf,http://faolex.fao.org/docs/pdf/bgd184948.pdf,15.pdf,,,,,,
16,bangladesh,National Livestock Extension Policy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd190190.pdf,http://faolex.fao.org/docs/pdf/bgd190190.pdf,16.pdf,,,,"for both public and private sectors � development of acts and regulations mofl, dls farmers’ organization producers’ organization � framing of organizational structure. � promote and strengthen. mofl, dls ngos and private entrepreneurs. research – extension – farmers’ linkage � client oriented research � facilitate research & extension collaboration. �",,
17,bangladesh,Bangladesh Strategic Plan on Agricultural and Rural Statistics (2016-2030).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd191140.pdf,http://faolex.fao.org/docs/pdf/bgd191140.pdf,17.pdf,,,,,,
18,bangladesh,"Aquaculture Sub-strategy, 2006.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd184881.pdf,http://faolex.fao.org/docs/pdf/bgd184881.pdf,18.pdf,,,,,,
21,bangladesh,Digital Security Act,Part of National ICT/Digital Document,Microsoft Word - 3614-Notification (cirt.gov.bd),https://www.cirt.gov.bd/wp-content/uploads/2020/02/Digital-Security-Act-2020.pdf,21.pdf,,,,,,
22,barbados,"National Policy Framework for the Development of Micro, Small and Medium-Sized Enterprises.",Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/bar183755.pdf,http://faolex.fao.org/docs/pdf/bar183755.pdf,22.pdf,,,"centre model ..................................................................................... 20 previous policy recommendations..................................................................................................... 20 swot analysis……………………………………………………………………………………………………………………………………..22 overview of caricom regional policy on msme development .................................................... 22 proposed policy framework for barbados ..................................................................................... 25 mission, vision, objectives .................................................................................................................... 26 pillar 1: legislative, regulatory and business support framework ...................................... 28 policy objective 1: to encourage businesses to enter","for potential and existing micro, small and medium enterprises within barbados that will accelerate entrepreneurship, increase profitability and employment, and foster innovation, competitiveness and sustainable development of the msme sector”. in recognizing the need for a multi-sectoral approach to msme development where public and private sector linkages are encouraged, this",,
23,barbados,Electronic Transactions Act,Part of National ICT/Digital Document,Cap308B (oas.org),http://ctrc.sice.oas.org/investment/NatLeg/Bar/Elect_act.pdf,23.pdf,,,,,,
24,barbados,National Agriculture Policy 2013,Part of Existing Sector Document (Agriculture/Fisheries),http://www.sice.oas.org/SME_CH/BRB/Policy_Paper_Agriculture_2013_e.pdf,http://www.sice.oas.org/SME_CH/BRB/Policy_Paper_Agriculture_2013_e.pdf,24.pdf,,,,"to arrest a rapidly declining sector. moreover, a new vision and strategic direction is needed if the sector’s role is to be enhanced and contribute to the sustainable development of barbados. the swot analysis for the sector as prepared by the ministry in their strategic plan 2002-2012 (19) is given",,
25,barbados,Telecommunications Act,Part of National ICT/Digital Document,Telecommunications Act (oas.org),http://www.sice.oas.org/compol/natleg/Barbados/telecommunications_act_cap282b.pdf,25.pdf,,,,,,
26,belize,National Agriculture and Food Policy of Belize 2015 - 2030.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/blz203926.pdf,http://faolex.fao.org/docs/pdf/blz203926.pdf,26.pdf,,,,"for the productive sector, the ministry aims to provide technical assistance, support key infrastructural development, promote legislative revisions, and mobilize affordable credit and other support services for improved agricultural competitiveness. also, it will aim to strengthen the domestic market and attract more local and foreign direct investments that will continue",,
27,belize,ICT National Strategy,Part of National ICT/Digital Document,Beliz2011.pdf (lincompany.kz),http://lincompany.kz/pdf/Africa/Beliz2011.pdf,27.pdf,,,,at all levels; develop and widen ict applications; foster and respect cultural diversity; recognize the role of the media; address the ethical dimensions of the information society; and encourage international and regional cooperation”. (tunis commitment: http://www.itu.int/wsis/docs2/tunis/off/7.html) this benchmarking report presents a global benchmarking study that will assess belize’s propensity to,,
28,belize,National E-Government Policy 2015-2018,Part of National ICT/Digital Document,https://cito.gov.bz/wp-content/uploads/2020/11/BelizeNatleGovPolicy2015.pdf,https://cito.gov.bz/wp-content/uploads/2020/11/BelizeNatleGovPolicy2015.pdf,28.pdf,,"that enables internet connectivity and access to digital information. completing the core of the model are the security controls and protocols vital to the safe delivery of online services and information, the vertical lavender-coloured column near the model’s centre. at the far right of the model are those activities and",,"for the deployment, application and use of e-government functionalities. the following summarised table provides the various thematic intervention areas, the objectives, the roadmap of programmes and the expected outcomes. the expectation is that the implementation of such a framework built on best in class global models and specifically designed to",,
29,belize,Electronic Transactions Act,Part of National ICT/Digital Document,Electronic Transactions Act (centralbank.org.bz),https://www.centralbank.org.bz/docs/default-source/2.10-national-payment-system-act/cap-229-03-electronic-transactions-act.pdf?sfvrsn=2,29.pdf,,,,,,
30,belize,Belize Open Government Action Plan,Part of National ICT/Digital Document,Open_Government_Belize_National_Action_Plan.pdf (thetrustfortheamericas.org),https://www.thetrustfortheamericas.org/media/events/attachments/Open_Government_Belize_National_Action_Plan.pdf,30.pdf,,,,,,
31,botswana,Data Protection Act,Part of National ICT/Digital Document,https://www.bocra.org.bw/sites/default/files/documents/DataProtectionAct.pdf,https://www.bocra.org.bw/sites/default/files/documents/DataProtectionAct.pdf,31.pdf,,,,,,
32,brunei darussalam,Data Protection Policy,Part of National ICT/Digital Document,Data Protection Policy.pdf (egnc.gov.bn),http://egnc.gov.bn/Shared Documents/EGNC Policies/Data Protection Policy.pdf,32.pdf,,,,,,
33,brunei darussalam,Computer Misuse Act,Part of National ICT/Digital Document,Computer Misuse.fm (agc.gov.bn),https://www.agc.gov.bn/AGC Images/LOB/PDF/Computer Misuse.pdf,33.pdf,,,,,,
34,brunei darussalam,Electronic Transactions Act,Part of National ICT/Digital Document,https://www.agc.gov.bn/AGC Images/LOB/PDF/Electronic Transactions (chp.196).pdf,https://www.agc.gov.bn/AGC Images/LOB/PDF/Electronic Transactions (chp.196).pdf,34.pdf,,,,,,
35,cameroon,Law No. 2010/012 on Cybersecurity and Cybercrime,Part of National ICT/Digital Document,https://fakoamerica.typepad.com/files/law_relating_to_cybersecurity_and_cybercriminality-1.pdf,https://fakoamerica.typepad.com/files/law_relating_to_cybersecurity_and_cybercriminality-1.pdf,35.pdf,,,,,,
36,cyprus,Cybersecurity Strategy of the Republic of Cyprus,Part of National ICT/Digital Document,?????????? ???????????????? ??? ????????? ??????????? (europa.eu),https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/CybersecurityStrategyoftheRepublicofCyprusv10_English.pdf,36.pdf,,,,,,
37,cyprus,Digital Strategy for Cyprus,Part of National ICT/Digital Document,04Digital Strategy for Cyprus_Executive summary.pdf (dmrid.gov.cy),https://dec.dmrid.gov.cy/dmrid/dec/ws_dec.nsf/68E7913001B3FC41C2258570003FE06E/$file/04Digital Strategy for Cyprus_Executive summary.pdf,37.pdf,,,,,,
38,cyprus,Digital Cyprus 2025,Part of National ICT/Digital Document,https://www.dmrid.gov.cy/dmrid/research.nsf/all/927EA351714F99EDC22587CE0028C090/$file/Digital%20Strategy%202020-2025.pdf?openelement,https://www.dmrid.gov.cy/dmrid/research.nsf/all/927EA351714F99EDC22587CE0028C090/$file/Digital Strategy 2020-2025.pdf?openelement,38.pdf,,,,,,
39,cyprus,Innovate Cyprus - CYRI - Strategy,Part of National ICT/Digital Document,Innovate-Cyprus-CYRI-Strategy-Framework-2019-2023-NBRI-May-2019.pdf (dmrid.gov.cy),https://www.dmrid.gov.cy/dmrid/research.nsf/all/927EA351714F99EDC22587CE0028C090/$file/Innovate-Cyprus-CYRI-Strategy-Framework-2019-2023-NBRI-May-2019.pdf?openelement,39.pdf,,,,,,
40,dominica,Electronic Evidence Act,Part of National ICT/Digital Document,Untitled-2 (oas.org),http://cicad.oas.org/fortalecimiento_institucional/legislations/PDF/DM/electronic_evidence_act.pdf,40.pdf,,,,,,
41,fiji,Draft Self Regulating Guideline: E-Commerce Business in Fiji,Part of National ICT/Digital Document,E-Commerce-SRG-draft-and-Ammended-copy.pdf (fccc.gov.fj),https://fccc.gov.fj/wp-content/uploads/2017/08/E-Commerce-SRG-draft-and-Ammended-copy.pdf,41.pdf,,,,,,
44,eswatini,National Information and Infrastructure and Communication Policy (Implementation Plan 2012-2016),Part of National ICT/Digital Document,National Information and Communication Infrastructure Policy (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/Swaziland.pdf,44.pdf,,nso national statistics office pc personal computer piac public internet access centres pms performance management system ppp public- private partnership prsap poverty reduction strategy and action plan rsa republic of south africa sacu southern african customs union sadc southern african development community scot swaziland college of technology sdi spatial data,, capacity building 1.5 the pillars based on the nici policy the importance of the pillars towards a sustainable development of the knowledge economy can be summarized as follows: 1.5.1 legal and regulatory frameworks inadequate legal and regulatory frameworks have been one of the limiting factors constraining e- economy and,,
45,eswatini,Ministry of Agriculture Strategic Plan,Part of Existing Sector Document (Agriculture/Fisheries),ministry of agriculture strategic plan (2018- 2023) (dairyboard.co.sz),http://www.dairyboard.co.sz/images/MOA STRATEGIC PLAN_WP_2020.pdf,45.pdf,,,,"for sustainable operation of agricultural enterprises. the implementation approach will include a strong mobilization of the private sector to strengthen the prioritized commodity value chains through setting up commercial anchor-farms, providing viable agricultural finance products and providing markets for smallholder producers. like all strategies, the success of this agriculture strategy",,
46,gambia,Trade Policy 2018-2022,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/gam201713.pdf,http://faolex.fao.org/docs/pdf/gam201713.pdf,46.pdf,,,and support services to small and medium enterprises  centralize all investment promotion activities within giepa for improved efficiency  operationalize the msme fund to support small businesses  develop a framework on commercial diplomacy in strategic embassies to promote investments and made in gambia products.  assess and review,"for the private sector to thrive and create decent jobs as well as to the industrial policy 2018, which emphasizes the need for:  industrial development to be based on export-oriented sectors that are competitive on the international market;  labour-intensive industries to be given prominence as a way to",,
48,gambia,ICT for Accelerated Development (ICT4D) Policy 2018-2028,Part of National ICT/Digital Document,"ICT
for Accelerated Development (ICT4D) Policy 2018-2028",https://moc.gov.gh/sites/default/files/downloads/Ghana-ICTAD Policy-Master-final-2.pdf,48.pdf,,,,"to facilitate the deployment, utilization and exploitation of icts within the economy and society • to support the development of a viable knowledge-based ict industry to facilitate the production, manufacturing, development, delivering, and distribution of ict products and services • to facilitate the modernization of the agricultural sector through the",,
49,gambia,Agriculture and Natural Resources (ANR) Policy (2009 -2015),Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gam170352.pdf,http://faolex.fao.org/docs/pdf/gam170352.pdf,49.pdf,,,"policy objective government is aware of the difference market structures could make to increase competitivity of agriculture commodities for exports. in view of the implications of ownership, maintenance and sustainability of such infrastructure, government will adopt a participatory approach to provide the enabling support, and facilitate the availability and use","for small producers to be effectively linked to markets, and private sector to invest measurably in the sector. a. crops the crops sub-sector generates approximately 40% of the foreign exchange earnings and accounts for about 33 percent of the gambia’s gdp. seventy percent of the labor force is engaged in",,
50,ghana,Food and Agriculture Sector Development Policy (FASDEP II).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gha144957.pdf,http://faolex.fao.org/docs/pdf/gha144957.pdf,50.pdf,,,,"for the provision of key infrastructure (irrigation, roads, storage, and energy) and information, by the private sector and where necessary provide such infrastructure. • the government shall foster an enabling-environment for the enforcement of laws and regulations. • all sector policies and plans will be subjected to strategic environmental assessment",,
51,ghana,Gender and Agriculture Development Strategy II (GADS II).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gha191457.pdf,http://faolex.fao.org/docs/pdf/gha191457.pdf,51.pdf,,,"services of fbos through strengthening service provisions and value chain financing. 5.3 value chain crop production ¡ support increased production of market-led cash and food crops among farmers, especially women and the youth for improved income and food security; and ¡ support the production of selected women crops such as","that is responsive to gender equity in policy formulation, programming, budgeting, implementation and monitoring and evaluation that will provide opportunities and resources for an inclusive sustainable agricultural development. 3.2 strategic objectives of gads ii the strategic objectives of gads ii are formulated based on the recommendations and strategic directions emerging",,
52,ghana,Coordinated Programme of Economic and Social Development Policies (2017-2024).,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/gha174137.pdf,http://faolex.fao.org/docs/pdf/gha174137.pdf,52.pdf,,,"services, including incubator hubs and business accelerator services. in addition, government will tackle the currently poor management of entrepreneurship training facilities across the country. page 67 v. promoting export development in view of the need for a clear national export strategy aimed at diversification, competitiveness and the development of more","attractive to, and supportive of both domestic and external investors. special attention will focus on reducing the high cost of doing business, resolving the energy constraints for business by ensuring reliability, cost competitiveness, and establishing reliable energy supply for industrial enclaves and zones. the complementary initiative is to lower the",,
53,ghana,Investing For Food And Jobs (IFJ): An Agenda For Transforming Ghanas Agriculture (2018-2021).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/gha204631.pdf,http://faolex.fao.org/docs/pdf/gha204631.pdf,53.pdf,,,and risk management services 109 thematic area: agriculture and rural development adopted mda goal (s): transforming agriculture and industry programme sub-programme investment area policy tools indicators baseline total indicative budget (gh₵) implementing agencies lead collaborating 3.2.1.1 developing and enacting regulation on agricultural clusters and monitoring its implementation developing and enacting,"for private sector operators and other actors within the various commodity value chains. the innovative flagship programmes of the government including the planting for food and jobs, planting for export and rural development, rearing for food and jobs, one-district-one factory, one-district- one-warehouse, among others, have been planned based on the",,
54,ghana,National Cyber Security Policy and Strategy,Part of National ICT/Digital Document,Microsoft Word - National Cyber Security Policy & Strategy Revised_23_07_15 (itu.int),https://www.itu.int/en/ITU-D/Cybersecurity/Documents/Country_Profiles/National-Cyber-Security-Policy-Strategy-Revised_23_07_15.pdf,54.pdf,,,,,,
55,ghana,2015 Fisheries Management Plan of Ghan,Part of Existing Sector Document (Agriculture/Fisheries),https://mofad.gov.gh/wp-content/uploads/2016/07/FISHERIES-MANAGEMENT-PLAN-OF-GHANA.pdf,https://mofad.gov.gh/wp-content/uploads/2016/07/FISHERIES-MANAGEMENT-PLAN-OF-GHANA.pdf,55.pdf,,,,,,
56,ghana,Electronic Transactions Act,Part of National ICT/Digital Document,"Microsoft Word - ELECTRONIC TRANSACTIONS ACT, 2008 (ACT 772).docx (bcp.gov.gh)","https://bcp.gov.gh/acc/registry/docs/ELECTRONIC TRANSACTIONS ACT, 2008 (ACT 772).pdf",56.pdf,,,,,,
57,grenada,Information and Communication Technology (ICT): A Strategy and Action Plan for Grenada,Part of National ICT/Digital Document,ICT Strategy and Action Plan 2001/2005 - Grenada (oas.org),http://ctrc.sice.oas.org/TRC/Articles/Grenada/ITC.pdf,57.pdf,,,,"to attract local and foreign investors through appropriate policies, legislation and improved public sector efficiency. the strategic intent of the government is to enable affordable access to global information to all its citizens including disadvantaged persons. the strategy will seek to pursue a sustainable process of action and review which",,
58,grenada,Electronic Transactions Act,Part of National ICT/Digital Document,http://www.gov.gd/sites/hop/files/Acts-SROs/2013/Act%20No.%2021%20of%202013%20Electronic%20Transactions.pdf,http://www.gov.gd/sites/hop/files/Acts-SROs/2013/Act No. 21 of 2013 Electronic Transactions.pdf,58.pdf,,,,,,
59,grenada,Electronic Crimes Bill,Part of National ICT/Digital Document,Act 23 of 2013 Electronic Crimes Bill.indd (grenadaparliament.gd),https://grenadaparliament.gd/wp-content/uploads/2021/08/Act-No.-23-of-2013-Electronic-Crimes-Act.pdf,59.pdf,,,,,,
60,guyana,National Strategy for Agriculture in Guyana 2013-2020.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/guy165953.pdf,http://faolex.fao.org/docs/pdf/guy165953.pdf,60.pdf,,,"skills, and training in financial management, including how to access credit. agriculture will be viewed as a profitable business rather than purely for subsistence, embracing this is key to revitalizing agriculture in the guyana. with the new generation of farmers will come innovative farming mechanisms. a national strategy for agriculture",1. establish a crop development and diversification unit at narei 2. review import and other policies for fresh fruits and vegetables and ensure enabling policies are in place to support import substitution and export expansion 3. establish a network of farmers and farmers’ organizations to promote greater collaboration and to,,
61,guyana,ICT4D Guyana National Strategy,Part of National ICT/Digital Document,ICT4D Guyana National Strategy - Final Draft (ndma.gov.gy),https://ndma.gov.gy/wp-content/uploads/2018/05/ict4d-guyana.pdf,61.pdf,,"(nsdi) and shift the decision- making and responses in health, public welfare, public infrastructure management (sea defences, roads, water and electricity utilities), crime, disaster preparedness and other expansive/ important issues towards data-driven bases. g) the recommendations of the approved national policy on gis provide a foundation for the nsdi and",,"at all levels; develop and widen ict applications; foster and respect cultural diversity cultural development of countries and the welfare of their people, in particular, in developing countries…” 12 3. the current state of ict in guyana guyana is, to a limited degree, already a member of the global information",,
62,guyana,Electronic Communications and Transactions Bill,Part of National ICT/Digital Document,https://www.business.gov.gy/wp-content/uploads/2020/10/LDC-Electronic-Communications-and-Transactions-Bill-2019.pdf,https://www.business.gov.gy/wp-content/uploads/2020/10/LDC-Electronic-Communications-and-Transactions-Bill-2019.pdf,62.pdf,,,,,,
63,india,Tamil Nadu Biotechnology Policy 2014.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ind194101.pdf,http://faolex.fao.org/docs/pdf/ind194101.pdf,63.pdf,,,,,,
64,india,National Policy on Marine Fisheries 2017.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ind177473.pdf,http://faolex.fao.org/docs/pdf/ind177473.pdf,64.pdf,,,,,,
65,india,National Digital Communications Policy,Part of National ICT/Digital Document,Draft-NDCP-2018.pdf (mygov.in),https://innovate.mygov.in/wp-content/uploads/2018/05/Draft-NDCP-2018.pdf,65.pdf,,,,,,
66,india,India’s National Agriculture Policy Vision 2020,Part of Existing Sector Document (Agriculture/Fisheries),"http://www.indiagri.in/admin/uploadpdf/991840Agrculture_Policy,_Vision_2020.pdf","http://www.indiagri.in/admin/uploadpdf/991840Agrculture_Policy,_Vision_2020.pdf",66.pdf,,,,,,
67,india,National Cyber Security Policy,Part of National ICT/Digital Document,National Cyber Security Policy (1).pdf (meity.gov.in),https://www.meity.gov.in/sites/upload_files/dit/files/National Cyber Security Policy %281%29.pdf,67.pdf,,,,,,
68,india,National Policy on Information Technology,Part of National ICT/Digital Document,https://www.meity.gov.in/writereaddata/files/National_20IT_20Policyt%20_20.pdf,https://www.meity.gov.in/writereaddata/files/National_20IT_20Policyt _20.pdf,68.pdf,,,,,,
69,india,India Personal Data Protection Bill,Part of National ICT/Digital Document,"Personal_Data_Protection_Bill,2018.pdf (meity.gov.in)","https://www.meity.gov.in/writereaddata/files/Personal_Data_Protection_Bill,2018.pdf",69.pdf,,,,,,
70,india,National Strategy for Artificial Intelligence,Part of National ICT/Digital Document,"https://www.niti.gov.in/sites/default/files/2021-02/Responsible-AI-22022021.pdf#:~:text=In India%2C the National Strategy on Artificial Intelligence,economic returns that are brought by this technology.",https://www.niti.gov.in/sites/default/files/2021-02/Responsible-AI-22022021.pdf,70.pdf,,,,for promoting a responsible ai ecosystem in india. the measures may be suitably calibrated according to the specific risk associated with different ai applications in a manner that keeps pace with technology advances. this is an evolving area of work. niti aayog is already working on part-2 of the paper,,
71,india,National Inland Fisheries and Aquaculture Policy,Part of Existing Sector Document (Agriculture/Fisheries),Draft National Inland Fisheries & Aquaculture Policy (NIFAP).pdf (nfdb.gov.in),https://nfdb.gov.in/PDF/Draft National Inland Fisheries & Aquaculture Policy (NIFAP).pdf,71.pdf,,,,"for sustainable development of inland fisheries and aquaculture in the country, to ensure food and nutritional security, gainful employment and livelihoods, economic prosperity and ecological health. the scope of nifap encompasses development and management of all inland fishery resources including aquaculture in freshwater, brackish water and landlocked saline/alkaline areas. the",,
72,india,National Fisheries Policy 2020,Part of Existing Sector Document (Agriculture/Fisheries),National_Fisheries_Policy_2020.pdf (nfdb.gov.in),https://nfdb.gov.in/PDF/National_Fisheries_Policy_2020.pdf,72.pdf,,,,"for sustainable development of mariculture in india will be promoted with required policy and legal framework. (ii) mariculture will be promoted in consonance with the relevant national and global instruments and other guidelines. the states/uts will license, regulate and manage mariculture activities within their territorial waters as per model guidelines",,
73,jamaica,Ministry of Agriculture and Fisheries Business Plan.,Part of Existing Sector Document (Agriculture/Fisheries),https://www.moa.gov.jm/sites/default/files/pdfs/MoAF_Strategic_Business%20Plan_2025.pdf,https://www.moa.gov.jm/sites/default/files/pdfs/MoAF_Strategic_Business Plan_2025.pdf,73.pdf,,,"services and research. 23 ministry of agriculture & fisheries prepared by: strategic planning performance monitoring and evaluation division strategic business plan 2021/22 – 2024/25 original: december 31, 2020 edited: march 30, 2021 2.0 sector highlights the implementation of ministry and departmental strategies will lead to the delivery of the sectoral","which grows and sustains industries in the agricultural sector while fostering gender equality and social inclusion in all our policies, programmes and projects.” core values moaf and by extension its portfolio agencies are committed to “building more for our agriculture sector – innovation, resilience and sustainability” through our core values",,
74,jamaica,Draft Fisheries Policy 2008,Part of Existing Sector Document (Agriculture/Fisheries),https://www.moa.gov.jm/sites/default/files/pdfs/DRAFT%20FISHERIES%20POLICY%202008.pdf,https://www.moa.gov.jm/sites/default/files/pdfs/DRAFT FISHERIES POLICY 2008.pdf,74.pdf,,,"officer for fisheries. 3.10.4.8 cost recovery and financing 1. fiscal administration: a review of revenue base will be conducted with a view to introducing measures to increase revenues from the fishing industry, including: cost recovery and cost sharing through increased user fees for the services provided by the fisheries division;",,,
76,jamaica,Youth In Agriculture Policy and Implementation Plan.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/jam177514.pdf,http://faolex.fao.org/docs/pdf/jam177514.pdf,76.pdf,,,"corporation .......................................................................... 47 6.1.4 other implementing agencies .................................................................................................. 48 6.1.5 role of the private sector, producer organizations and civil society .................................. 50 6.2 national youth in agriculture coordinating committee ....................................................... 51 6.3 legislative framework ............................................................................................................. 53 6.4 communications programme ................................................................................................. 53 7.0 financing ..................................................................................................... 54 7.1 funding requirements ............................................................................................................. 54","for youth’s transition to, and investment in the agricultural and fisheries sectors1, taking into consideration the entire value chain. youth, for this policy, is defined as those persons between 15 to 35 years of age2. 3.1 policy vision “youth are empowered for full participation in the agricultural sector through leadership",,
